date,ABBV,ABBV_EPS,PE Ratio
2014-11-20,65.19,0.51,127.8235294117647
2014-11-21,67.36,0.51,132.078431372549
2014-11-24,67.78,0.51,132.90196078431373
2014-11-25,68.06,0.51,133.45098039215688
2014-11-26,68.7,0.51,134.7058823529412
2014-11-28,69.2,0.51,135.68627450980392
2014-12-01,69.11,0.51,135.50980392156862
2014-12-02,69.27,0.51,135.8235294117647
2014-12-03,68.5,0.51,134.31372549019608
2014-12-04,69.57,0.51,136.41176470588235
2014-12-05,69.71,0.51,136.6862745098039
2014-12-08,69.42,0.51,136.11764705882354
2014-12-09,69.14,0.51,135.5686274509804
2014-12-10,67.58,0.51,132.50980392156862
2014-12-11,67.03,0.51,131.4313725490196
2014-12-12,65.27,0.51,127.98039215686273
2014-12-15,65.62,0.51,128.66666666666669
2014-12-16,65.25,0.51,127.94117647058823
2014-12-17,66.57,0.51,130.52941176470586
2014-12-18,67.92,0.51,133.1764705882353
2014-12-19,67.71,0.51,132.76470588235293
2014-12-22,66.97,0.51,131.31372549019608
2014-12-23,64.35,0.51,126.17647058823528
2014-12-24,66.21,0.51,129.8235294117647
2014-12-26,66.98,0.51,131.33333333333334
2014-12-29,67.14,0.51,131.64705882352942
2014-12-30,66.3,0.51,130.0
2014-12-31,65.44,0.51,128.31372549019608
2015-01-02,65.89,0.51,129.19607843137254
2015-01-05,64.65,0.51,126.76470588235296
2015-01-06,64.33,0.51,126.13725490196077
2015-01-07,66.93,0.51,131.23529411764707
2015-01-08,67.63,0.51,132.6078431372549
2015-01-09,65.78,0.51,128.98039215686273
2015-01-12,65.76,0.51,128.94117647058823
2015-01-13,63.39,0.51,124.29411764705883
2015-01-14,63.7,0.51,124.90196078431373
2015-01-15,62.89,0.51,123.31372549019608
2015-01-16,64.54,0.51,126.54901960784315
2015-01-20,63.45,0.51,124.41176470588236
2015-01-21,62.7,0.51,122.94117647058823
2015-01-22,62.98,0.51,123.49019607843137
2015-01-23,62.43,0.51,122.41176470588235
2015-01-26,62.83,0.51,123.19607843137254
2015-01-27,63.1,0.51,123.72549019607843
2015-01-28,61.85,0.51,121.27450980392157
2015-01-29,63.12,0.51,123.76470588235293
2015-01-30,60.35,0.51,118.33333333333333
2015-02-02,60.7,0.51,119.01960784313727
2015-02-03,61.65,0.51,120.88235294117646
2015-02-04,56.91,0.51,111.58823529411764
2015-02-05,57.99,0.51,113.70588235294117
2015-02-06,56.9,0.51,111.56862745098039
2015-02-09,55.48,0.51,108.7843137254902
2015-02-10,56.89,0.51,111.54901960784314
2015-02-11,56.69,0.51,111.15686274509804
2015-02-12,57.05,0.51,111.86274509803921
2015-02-13,58.05,0.51,113.8235294117647
2015-02-17,58.72,0.51,115.13725490196077
2015-02-18,59.24,0.51,116.15686274509804
2015-02-19,59.0,0.51,115.68627450980392
2015-02-20,61.3,-0.49,-125.10204081632652
2015-02-23,60.57,-0.49,-123.61224489795919
2015-02-24,60.87,-0.49,-124.22448979591836
2015-02-25,60.62,-0.49,-123.71428571428571
2015-02-26,60.52,-0.49,-123.51020408163266
2015-02-27,60.5,-0.49,-123.46938775510205
2015-03-02,60.46,-0.49,-123.38775510204081
2015-03-03,59.62,-0.49,-121.6734693877551
2015-03-04,60.27,-0.49,-123.00000000000001
2015-03-05,56.86,-0.49,-116.04081632653062
2015-03-06,55.64,-0.49,-113.55102040816327
2015-03-09,55.54,-0.49,-113.34693877551021
2015-03-10,55.84,-0.49,-113.9591836734694
2015-03-11,56.62,-0.49,-115.55102040816327
2015-03-12,58.0,-0.49,-118.36734693877551
2015-03-13,58.0,-0.49,-118.36734693877551
2015-03-16,59.12,-0.49,-120.65306122448979
2015-03-17,59.73,-0.49,-121.89795918367346
2015-03-18,59.89,-0.49,-122.22448979591837
2015-03-19,61.19,-0.49,-124.87755102040816
2015-03-20,60.4,-0.49,-123.26530612244898
2015-03-23,60.48,-0.49,-123.42857142857143
2015-03-24,59.63,-0.49,-121.69387755102042
2015-03-25,58.22,-0.49,-118.81632653061224
2015-03-26,57.27,-0.49,-116.87755102040818
2015-03-27,57.65,-0.49,-117.65306122448979
2015-03-30,58.24,-0.49,-118.85714285714286
2015-03-31,58.54,-0.49,-119.46938775510205
2015-04-01,57.1,-0.49,-116.53061224489797
2015-04-02,57.01,-0.49,-116.3469387755102
2015-04-06,57.61,-0.49,-117.57142857142857
2015-04-07,58.42,-0.49,-119.22448979591837
2015-04-08,58.81,-0.49,-120.02040816326532
2015-04-09,60.32,-0.49,-123.10204081632654
2015-04-10,62.0,-0.49,-126.53061224489797
2015-04-13,61.2,-0.49,-124.89795918367348
2015-04-14,61.72,-0.49,-125.95918367346938
2015-04-15,62.03,-0.49,-126.59183673469389
2015-04-16,62.59,-0.49,-127.73469387755102
2015-04-17,62.29,-0.49,-127.12244897959184
2015-04-20,63.54,-0.49,-129.6734693877551
2015-04-21,63.61,-0.49,-129.81632653061226
2015-04-22,64.52,-0.49,-131.6734693877551
2015-04-23,64.25,-0.49,-131.12244897959184
2015-04-24,66.07,-0.49,-134.83673469387753
2015-04-27,65.02,-0.49,-132.6938775510204
2015-04-28,66.49,-0.49,-135.6938775510204
2015-04-29,65.63,-0.49,-133.93877551020407
2015-04-30,64.66,-0.49,-131.9591836734694
2015-05-01,64.32,-0.49,-131.26530612244898
2015-05-04,64.68,-0.49,-132.00000000000003
2015-05-05,63.86,-0.49,-130.3265306122449
2015-05-06,63.94,-0.49,-130.48979591836735
2015-05-07,64.7,-0.49,-132.04081632653063
2015-05-08,65.24,0.71,91.88732394366197
2015-05-11,65.2,0.71,91.83098591549296
2015-05-12,64.81,0.71,91.28169014084507
2015-05-13,65.3,0.71,91.97183098591549
2015-05-14,65.97,0.71,92.91549295774648
2015-05-15,65.99,0.71,92.94366197183098
2015-05-18,65.61,0.71,92.40845070422536
2015-05-19,65.73,0.71,92.5774647887324
