date,close price,TPR_SHE,TPR_TA,TPR_TL,market cap,PB Ratio
2012-03-26,79.03,1868726000.0,3100885000.0,1232159000.0,23310056560.0,12.473769059776554
2012-03-27,78.73,1868726000.0,3100885000.0,1232159000.0,23221570960.0,12.42641829781359
2012-03-28,77.34,1868726000.0,3100885000.0,1232159000.0,22811587680.0,12.207026434051862
2012-03-29,77.26,1868726000.0,3100885000.0,1232159000.0,22787991520.0,12.194399564195072
2012-03-30,77.28,1868726000.0,3100885000.0,1232159000.0,22793890560.0,12.197556281659269
2012-04-02,78.46,1868726000.0,3100885000.0,1232159000.0,23077361340.0,12.349248279309005
2012-04-03,75.48,1868726000.0,3100885000.0,1232159000.0,22200856920.0,11.880209789985262
2012-04-04,74.72,1868726000.0,3100885000.0,1232159000.0,21977318880.0,11.760589235661087
2012-04-05,75.54,1868726000.0,3100885000.0,1232159000.0,22218504660.0,11.889653517958225
2012-04-09,75.25,1868726000.0,3100885000.0,1232159000.0,22133207250.0,11.844008832755577
2012-04-10,72.9,1868726000.0,3100885000.0,1232159000.0,21442004100.0,11.474129487147929
2012-04-11,73.65,1868726000.0,3100885000.0,1232159000.0,21662600850.0,11.592176086809944
2012-04-12,74.85,1868726000.0,3100885000.0,1232159000.0,22015555650.0,11.78105064626917
2012-04-13,74.24,1868726000.0,3100885000.0,1232159000.0,21836136960.0,11.685039411877396
2012-04-16,73.84,1868726000.0,3100885000.0,1232159000.0,21718485360.0,11.622081225390989
2012-04-17,75.12,1868726000.0,3100885000.0,1232159000.0,22094970480.0,11.823547422147495
2012-04-18,75.33,1868726000.0,3100885000.0,1232159000.0,22156737570.0,11.856600470052859
2012-04-19,74.83,1868726000.0,3100885000.0,1232159000.0,22009673070.0,11.77790273694485
2012-04-20,75.67,1868726000.0,3100885000.0,1232159000.0,22256741430.0,11.910114928566307
2012-04-23,75.12,1868726000.0,3100885000.0,1232159000.0,22094970480.0,11.823547422147495
2012-04-24,71.87,1868726000.0,3100885000.0,1232159000.0,21139051230.0,11.312012156945427
2012-04-25,72.1,1868726000.0,3100885000.0,1232159000.0,21206700900.0,11.348213114175111
2012-04-26,73.27,1868726000.0,3100885000.0,1232159000.0,21550831830.0,11.532365809647857
2012-04-27,73.91,1868726000.0,3100885000.0,1232159000.0,21739074390.0,11.63309890802611
2012-04-30,73.16,1868726000.0,3100885000.0,1232159000.0,21518477640.0,11.515052308364094
2012-05-01,73.57,1868726000.0,3100885000.0,1232159000.0,21639070529.999996,11.57958444951266
2012-05-02,75.1,1868726000.0,3100885000.0,1232159000.0,22089087900.0,11.820399512823174
2012-05-03,74.25,1868726000.0,3100885000.0,1232159000.0,21839078250.0,11.686613366539557
2012-05-04,72.53,1868726000.0,3100885000.0,1232159000.0,21333176370.0,11.415893164648
2012-05-07,72.06,1868726000.0,3100885000.0,1232159000.0,21194935740.0,11.341917295526471
2012-05-08,70.8,1868726000.0,3100885000.0,1232159000.0,20824333200.0,11.143599008094284
2012-05-09,69.58,1938902000.0,2984870000.0,1045968000.0,20465495820.0,10.555198674301229
2012-05-10,68.7,1938902000.0,2984870000.0,1045968000.0,20206662300.0,10.421703778736624
2012-05-11,68.31,1938902000.0,2984870000.0,1045968000.0,20091951990.0,10.362541268202312
2012-05-14,67.15,1938902000.0,2984870000.0,1045968000.0,19750762350.0,10.186570724048972
2012-05-15,66.74,1938902000.0,2984870000.0,1045968000.0,19630169460.0,10.124374238615463
2012-05-16,67.52,1938902000.0,2984870000.0,1045968000.0,19859590080.0,10.24269925968409
2012-05-17,65.26,1938902000.0,2984870000.0,1045968000.0,19194858540.0,9.899860096074995
2012-05-18,65.89,1938902000.0,2984870000.0,1045968000.0,19380159810.0,9.995430305399655
2012-05-21,67.89,1938902000.0,2984870000.0,1045968000.0,19968417810.0,10.298827795319207
2012-05-22,68.45,1938902000.0,2984870000.0,1045968000.0,20133130050.0,10.383779092496681
2012-05-23,69.05,1938902000.0,2984870000.0,1045968000.0,20309607450.0,10.474798339472548
2012-05-24,69.27,1938902000.0,2984870000.0,1045968000.0,20374315830.0,10.508172063363698
2012-05-25,68.91,1938902000.0,2984870000.0,1045968000.0,20268429390.0,10.453560515178179
2012-05-29,70.11,1938902000.0,2984870000.0,1045968000.0,20621384190.0,10.63559900912991
2012-05-30,68.6,1938902000.0,2984870000.0,1045968000.0,20177249400.0,10.406533904240648
2012-05-31,67.45,1938902000.0,2984870000.0,1045968000.0,19839001050.0,10.232080347536906
2012-06-01,63.13,1938902000.0,2984870000.0,1045968000.0,18568363770.0,9.576741769310672
2012-06-04,64.06,1938902000.0,2984870000.0,1045968000.0,18841903740.0,9.717821602123264
2012-06-05,63.95,1938902000.0,2984870000.0,1045968000.0,18809549550.0,9.701134740177688
2012-06-06,62.84,1938902000.0,2984870000.0,1045968000.0,18483066360.0,9.532749133272336
2012-06-07,62.07,1938902000.0,2984870000.0,1045968000.0,18256587030.0,9.41594109965331
2012-06-08,64.0,1938902000.0,2984870000.0,1045968000.0,18824256000.0,9.708719677425677
2012-06-11,61.82,1938902000.0,2984870000.0,1045968000.0,18183054780.0,9.378016413413365
2012-06-12,61.98,1938902000.0,2984870000.0,1045968000.0,18230115420.0,9.40228821260693
2012-06-13,60.15,1938902000.0,2984870000.0,1045968000.0,17691859350.0,9.124679509330539
2012-06-14,59.93,1938902000.0,2984870000.0,1045968000.0,17627150970.0,9.091305785439388
2012-06-15,61.21,1938902000.0,2984870000.0,1045968000.0,18003636090.0,9.285480178987902
2012-06-18,60.72,1938902000.0,2984870000.0,1045968000.0,17859512880.0,9.211147793957611
2012-06-19,61.82,1938902000.0,2984870000.0,1045968000.0,18183054780.0,9.378016413413365
2012-06-20,61.7,1938902000.0,2984870000.0,1045968000.0,18147759300.0,9.359812564018192
2012-06-21,59.85,1938902000.0,2984870000.0,1045968000.0,17603620650.0,9.079169885842607
2012-06-22,59.79,1938902000.0,2984870000.0,1045968000.0,17585972910.0,9.07006796114502
2012-06-25,57.74,1938902000.0,2984870000.0,1045968000.0,16983008460.0,8.759085533977478
2012-06-26,57.64,1938902000.0,2984870000.0,1045968000.0,16953595560.0,8.7439156594815
2012-06-27,57.65,1938902000.0,2984870000.0,1045968000.0,16956536850.0,8.745432646931098
2012-06-28,56.12,1938902000.0,2984870000.0,1045968000.0,16506519480.0,8.51333356714264
2012-06-29,58.48,1938902000.0,2984870000.0,1045968000.0,17200663920.0,8.871342605247712
2012-07-02,58.57,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-03,58.35,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-05,59.69,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-06,57.56,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-09,57.69,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-10,56.92,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-11,55.84,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-12,55.3,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-13,57.18,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-16,56.33,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-17,56.43,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-18,57.99,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-19,61.02,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-20,58.84,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-23,58.0,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-24,57.02,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-25,57.35,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-26,59.72,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-27,62.1,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-30,60.58,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-07-31,49.33,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
2012-08-01,49.83,1938902000.0,2984870000.0,1045968000.0,0.0,0.0
