date,close price,DGX_SHE,DGX_TA,DGX_TL,market cap,PB Ratio
2016-10-31,81.44,4663000000.0,10173000000.0,5510000000.0,11564480000.0,2.480051469011366
2016-11-01,80.53,4663000000.0,10173000000.0,5510000000.0,11435260000.0,2.452339695475016
2016-11-02,80.98,4663000000.0,10173000000.0,5510000000.0,11499160000.0,2.466043319751233
2016-11-03,81.3,4663000000.0,10173000000.0,5510000000.0,11544600000.0,2.475788119236543
2016-11-04,81.22,4663000000.0,10173000000.0,5510000000.0,11533240000.0,2.4733519193652156
2016-11-07,82.47,4663000000.0,10173000000.0,5510000000.0,11710740000.0,2.511417542354707
2016-11-08,83.52,4663000000.0,10173000000.0,5510000000.0,11859840000.0,2.5433926656658805
2016-11-09,80.42,4663000000.0,10173000000.0,5510000000.0,11419640000.0,2.448989920651941
2016-11-10,81.51,4663000000.0,10173000000.0,5510000000.0,11574420000.0,2.482183143898778
2016-11-11,81.46,4663000000.0,10173000000.0,5510000000.0,11567320000.0,2.480660518979198
2016-11-14,85.1,4663000000.0,10173000000.0,5510000000.0,12084200000.0,2.5915076131245978
2016-11-15,85.2,4663000000.0,10173000000.0,5510000000.0,12098400000.0,2.594552862963757
2016-11-16,84.69,4663000000.0,10173000000.0,5510000000.0,12025980000.0,2.5790220887840447
2016-11-17,85.79,4663000000.0,10173000000.0,5510000000.0,12182180000.0,2.6125198370147973
2016-11-18,85.54,4663000000.0,10173000000.0,5510000000.0,12146680000.0,2.604906712416899
2016-11-21,87.29,4663000000.0,10173000000.0,5510000000.0,12395180000.0,2.6581985846021876
2016-11-22,86.64,4663000000.0,10173000000.0,5510000000.0,12302880000.0,2.6384044606476516
2016-11-23,87.82,4663000000.0,10173000000.0,5510000000.0,12470439999.999998,2.6743384087497315
2016-11-25,88.32,4663000000.0,10173000000.0,5510000000.0,12541439999.999998,2.689564657945528
2016-11-28,88.23,4663000000.0,10173000000.0,5510000000.0,12528660000.0,2.6868239330902854
2016-11-29,88.75,4663000000.0,10173000000.0,5510000000.0,12602500000.0,2.7026592322539136
2016-11-30,87.46,4663000000.0,10173000000.0,5510000000.0,12419320000.0,2.663375509328758
2016-12-01,87.45,4663000000.0,10173000000.0,5510000000.0,12417900000.0,2.6630709843448424
2016-12-02,88.0,4663000000.0,10173000000.0,5510000000.0,12496000000.0,2.6798198584602186
2016-12-05,88.32,4663000000.0,10173000000.0,5510000000.0,12541439999.999998,2.689564657945528
2016-12-06,88.67,4663000000.0,10173000000.0,5510000000.0,12591140000.0,2.700223032382586
2016-12-07,88.71,4663000000.0,10173000000.0,5510000000.0,12596820000.0,2.70144113231825
2016-12-08,89.68,4663000000.0,10173000000.0,5510000000.0,12734560000.000002,2.730980055758096
