date,NTRS,NTRS_SHE,PB Ratio
2015-04-28,17301065332.940002,8607600000.0,2.009975525458897
2015-04-29,17348117455.14,8607600000.0,2.0154418717342812
2015-04-30,17209313694.65,8607600000.0,1.999316150221897
2015-05-01,17338707030.7,8607600000.0,2.0143486024792043
2015-05-04,17538678550.05,8607600000.0,2.0375805741495885
2015-05-05,17541031156.16,8607600000.0,2.037853891463358
2015-05-06,17463395154.530003,8607600000.0,2.0288344201089736
2015-05-07,17559852005.04,8607600000.0,2.0400404299735118
2015-05-08,17703360977.75,8607600000.0,2.0567127861134344
2015-05-11,17656308855.55,8607600000.0,2.05124643983805
2015-05-12,17559852005.04,8607600000.0,2.0400404299735118
2015-05-13,17581025460.030003,8607600000.0,2.042500285797435
2015-05-14,17646898431.11,8607600000.0,2.0501531705829734
2015-05-15,17578672853.92,8607600000.0,2.0422269684836656
2015-05-18,17809228252.7,8607600000.0,2.06901206523305
2015-05-19,17915095527.65,8607600000.0,2.0813113443526654
2015-05-20,17917448133.76,8607600000.0,2.081584661666434
2015-05-21,17886864254.33,8607600000.0,2.0780315365874347
2015-05-22,17776291767.16,8607600000.0,2.0651856228402807
2015-05-26,17595141096.690002,8607600000.0,2.0441401896800504
2015-05-27,17764528736.61,8607600000.0,2.063819036271435
2015-05-28,17797465222.15,8607600000.0,2.067645478664204
2015-05-29,17538678550.05,8607600000.0,2.0375805741495885
2015-06-01,17468100366.75,8607600000.0,2.029381054736512
2015-06-02,17503389458.4,8607600000.0,2.0334808144430503
2015-06-03,17668071886.1,8607600000.0,2.0526130264068962
2015-06-04,17472805578.969997,8607600000.0,2.02992768936405
2015-06-05,17703360977.75,8607600000.0,2.0567127861134344
2015-06-08,17799817828.26,8607600000.0,2.0679187959779726
2015-06-09,17851575162.68,8607600000.0,2.073931776880896
2015-06-10,18176234805.86,8607600000.0,2.1116495661810495
2015-06-11,18232697352.5,8607600000.0,2.118209181711511
2015-06-12,18253870807.49,8607600000.0,2.120669037535434
2015-06-15,18171529593.64,8607600000.0,2.1111029315535106
2015-06-16,18192703048.63,8607600000.0,2.113562787377434
2015-06-17,18086835773.68,8607600000.0,2.101263508257819
2015-06-18,18279749474.7,8607600000.0,2.1236755279868955
2015-06-19,18246812989.16,8607600000.0,2.119849085594126
2015-06-22,18399732386.309998,8607600000.0,2.1376147109891255
2015-06-23,18444431902.4,8607600000.0,2.1428077399507415
2015-06-24,18282102080.809998,8607600000.0,2.123948845300664
2015-06-25,18277396868.59,8607600000.0,2.123402210673126
2015-06-26,18500894449.04,8607600000.0,2.149367355481203
2015-06-29,17945679407.08,8607600000.0,2.084864469431665
2015-06-30,17988026317.059998,8607600000.0,2.089784181079511
2015-07-01,18827099948.7,8607600000.0,2.187264736825596
2015-07-02,18761039948.88,8607600000.0,2.1795901237139272
2015-07-06,18592219949.34,8607600000.0,2.159977223539663
2015-07-07,18562859949.420002,8607600000.0,2.156566284378921
2015-07-08,18117566617.3,8607600000.0,2.104833707107672
2015-07-09,18286386616.84,8607600000.0,2.124446607281937
2015-07-10,18687639949.079998,8607600000.0,2.171062775812073
2015-07-13,18878479948.559998,8607600000.0,2.193233880356894
2015-07-14,18898053281.84,8607600000.0,2.195507839797388
2015-07-15,19013046614.859997,8607600000.0,2.208867351510293
2015-07-16,19245479947.559998,8607600000.0,2.2358706198661644
2015-07-17,19064426614.72,8607600000.0,2.2148364950415913
2015-07-20,19167186614.440002,8607600000.0,2.2267747821041874
2015-07-21,19096233281.3,8607600000.0,2.2185316791323944
2015-07-22,19076659948.02,8607600000.0,2.2162577196919004
2015-07-23,19083999948.0,8607600000.0,2.2171104544820857
