date,close price,A_SHE,A_TA,A_TL,market cap,PB Ratio
2011-08-12,25.9,3953000000.0,8649000000.0,4696000000.0,9194500000.0,2.325954970908171
2011-08-15,26.82,3953000000.0,8649000000.0,4696000000.0,9521100000.0,2.4085757652415887
2011-08-16,26.2,3953000000.0,8649000000.0,4696000000.0,9301000000.0,2.3528965342777637
2011-08-17,25.61,3953000000.0,8649000000.0,4696000000.0,9091550000.0,2.299911459650898
2011-08-18,23.05,3953000000.0,8649000000.0,4696000000.0,8182750000.0,2.07001011889704
2011-08-19,22.23,3953000000.0,8649000000.0,4696000000.0,7891650000.0,1.9963698456868202
2011-08-22,21.82,3953000000.0,8649000000.0,4696000000.0,7746100000.0,1.95954970908171
2011-08-23,22.79,3953000000.0,8649000000.0,4696000000.0,8090450000.0,2.0466607639767265
2011-08-24,23.66,3953000000.0,8649000000.0,4696000000.0,8399300000.0,2.1247912977485455
2011-08-25,23.63,3953000000.0,8649000000.0,4696000000.0,8388650000.0,2.122097141411586
2011-08-26,24.94,3953000000.0,8649000000.0,4696000000.0,8853700000.0,2.2397419681254744
2011-08-29,26.27,3953000000.0,8649000000.0,4696000000.0,9325850000.0,2.359182899064002
2011-08-30,26.19,3953000000.0,8649000000.0,4696000000.0,9297450000.0,2.351998482165444
2011-08-31,26.37,3953000000.0,8649000000.0,4696000000.0,9361350000.0,2.3681634201871997
2011-09-01,25.64,3953000000.0,8649000000.0,4696000000.0,9102200000.0,2.3026056159878574
2011-09-02,24.61,3953000000.0,8649000000.0,4696000000.0,8736550000.0,2.2101062484189224
2011-09-06,24.26,3953000000.0,8649000000.0,4696000000.0,8612300000.0,2.1786744244877307
2011-09-07,25.53,4192000000.0,8753000000.0,4561000000.0,9063150000.0,2.1620109732824426
2011-09-08,24.42,4192000000.0,8753000000.0,4561000000.0,8669100000.0,2.068010496183206
2011-09-09,23.86,4192000000.0,8753000000.0,4561000000.0,8470300000.0,2.0205868320610687
2011-09-12,23.9,4192000000.0,8753000000.0,4561000000.0,8484499999.999999,2.0239742366412212
2011-09-13,24.88,4192000000.0,8753000000.0,4561000000.0,8832400000.0,2.106965648854962
2011-09-14,26.17,4192000000.0,8753000000.0,4561000000.0,9290350000.0,2.2162094465648856
2011-09-15,26.49,4192000000.0,8753000000.0,4561000000.0,9403950000.0,2.2433086832061067
2011-09-16,26.01,4192000000.0,8753000000.0,4561000000.0,9233550000.0,2.2026598282442746
2011-09-19,25.01,4192000000.0,8753000000.0,4561000000.0,8878550000.0,2.117974713740458
2011-09-20,25.07,4192000000.0,8753000000.0,4561000000.0,8899850000.0,2.123055820610687
2011-09-21,23.07,4192000000.0,8753000000.0,4561000000.0,8189850000.0,1.9536855916030533
2011-09-22,22.38,4192000000.0,8753000000.0,4561000000.0,7944900000.0,1.89525286259542
2011-09-23,22.66,4192000000.0,8753000000.0,4561000000.0,8044300000.0,1.9189646946564884
2011-09-26,23.17,4192000000.0,8753000000.0,4561000000.0,8225350000.000001,1.9621541030534353
2011-09-27,24.01,4192000000.0,8753000000.0,4561000000.0,8523550000.000001,2.0332895992366415
2011-09-28,22.63,4192000000.0,8753000000.0,4561000000.0,8033650000.0,1.916424141221374
2011-09-29,23.26,4192000000.0,8753000000.0,4561000000.0,8257300000.000001,1.969775763358779
2011-09-30,22.35,4192000000.0,8753000000.0,4561000000.0,7934250000.000001,1.8927123091603055
2011-10-03,21.03,4192000000.0,8753000000.0,4561000000.0,7465650000.0,1.7809279580152673
2011-10-04,22.18,4192000000.0,8753000000.0,4561000000.0,7873900000.0,1.8783158396946564
2011-10-05,22.98,4192000000.0,8753000000.0,4561000000.0,8157900000.0,1.94606393129771
2011-10-06,23.99,4192000000.0,8753000000.0,4561000000.0,8516449999.999999,2.031595896946565
2011-10-07,22.44,4192000000.0,8753000000.0,4561000000.0,7966200000.0,1.900333969465649
2011-10-10,23.83,4192000000.0,8753000000.0,4561000000.0,8459649999.999999,2.018046278625954
2011-10-11,24.27,4192000000.0,8753000000.0,4561000000.0,8615850000.0,2.0553077290076334
2011-10-12,24.16,4192000000.0,8753000000.0,4561000000.0,8576800000.0,2.045992366412214
2011-10-13,23.23,4192000000.0,8753000000.0,4561000000.0,8246650000.0,1.967235209923664
2011-10-14,23.85,4192000000.0,8753000000.0,4561000000.0,8466750000.000001,2.0197399809160306
2011-10-17,23.66,4192000000.0,8753000000.0,4561000000.0,8399300000.0,2.003649809160305
2011-10-18,23.95,4192000000.0,8753000000.0,4561000000.0,8502250000.0,2.0282084923664123
2011-10-19,23.6,4192000000.0,8753000000.0,4561000000.0,8378000000.000001,1.9985687022900767
2011-10-20,24.13,4192000000.0,8753000000.0,4561000000.0,8566150000.0,2.043451812977099
2011-10-21,25.23,4192000000.0,8753000000.0,4561000000.0,8956650000.0,2.136605438931298
2011-10-24,26.85,4192000000.0,8753000000.0,4561000000.0,9531750000.0,2.273795324427481
