date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2015-10-20,185.58,-31000000.0,17319000000.0,17350000000.0,20760792102.18,-669.7029710380646
2015-10-21,175.35,-31000000.0,17319000000.0,17350000000.0,19616364344.85,-632.7859466080645
2015-10-22,178.38,-31000000.0,17319000000.0,17350000000.0,19955329750.98,-643.720314547742
2015-10-23,183.0,-31000000.0,17319000000.0,17350000000.0,20472168093.0,-660.3925191290323
2015-10-26,184.02,-31000000.0,17319000000.0,17350000000.0,20586275259.420002,-664.0733954651613
2015-10-27,181.09,-31000000.0,17319000000.0,17350000000.0,20258496830.39,-653.4998977545162
2015-10-28,184.1,-31000000.0,17319000000.0,17350000000.0,20595224841.1,-664.362091648387
2015-10-29,193.33,60000000.0,36873000000.0,36813000000.0,21627782827.43,360.46304712383335
2015-10-30,190.94,60000000.0,36873000000.0,36813000000.0,21360414074.739998,356.00690124566665
2015-11-02,187.34,60000000.0,36873000000.0,36813000000.0,20957682899.14,349.29471498566664
2015-11-03,189.28,60000000.0,36873000000.0,36813000000.0,21174710254.88,352.9118375813334
2015-11-04,190.1,60000000.0,36873000000.0,36813000000.0,21266443467.1,354.44072445166665
2015-11-05,189.23,60000000.0,36873000000.0,36813000000.0,21169116766.329998,352.81861277216666
2015-11-06,190.26,60000000.0,36873000000.0,36813000000.0,21284342630.46,354.739043841
2015-11-09,190.16,60000000.0,36873000000.0,36813000000.0,21273155653.36,354.5525942226667
2015-11-10,190.77,60000000.0,36873000000.0,36813000000.0,21341396213.670002,355.6899368945
2015-11-11,191.2,60000000.0,36873000000.0,36813000000.0,21389500215.199997,356.49167025333327
2015-11-12,192.0,60000000.0,36873000000.0,36813000000.0,21478996032.0,357.9832672
2015-11-13,186.48,60000000.0,36873000000.0,36813000000.0,20861474896.079998,347.691248268
2015-11-16,185.69,60000000.0,36873000000.0,36813000000.0,20773097776.989998,346.21829628316664
2015-11-17,184.64,60000000.0,36873000000.0,36813000000.0,20655634517.44,344.2605752906666
2015-11-18,187.81,60000000.0,36873000000.0,36813000000.0,21010261691.510002,350.1710281918334
2015-11-19,186.13,60000000.0,36873000000.0,36813000000.0,20822320476.23,347.03867460383333
