date,close price,HCA_SHE,HCA_TA,HCA_TL,market cap,PB Ratio
2016-11-15,74.0,-7763000000.0,33127000000.0,40890000000.0,28490000000.0,-3.6699729486023442
2016-11-16,73.54,-7763000000.0,33127000000.0,40890000000.0,28312900000.0,-3.6471596032461675
2016-11-17,74.66,-7763000000.0,33127000000.0,40890000000.0,28744100000.0,-3.7027051397655546
2016-11-18,72.39,-7763000000.0,33127000000.0,40890000000.0,27870150000.0,-3.590126239855726
2016-11-21,72.94,-7763000000.0,33127000000.0,40890000000.0,28081900000.0,-3.6174030658250675
2016-11-22,70.09,-7763000000.0,33127000000.0,40890000000.0,26984650000.0,-3.4760595130748424
2016-11-23,71.0,-7763000000.0,33127000000.0,40890000000.0,27335000000.0,-3.521190261496844
2016-11-25,71.39,-7763000000.0,33127000000.0,40890000000.0,27485150000.0,-3.540532010820559
2016-11-28,70.44,-7763000000.0,33127000000.0,40890000000.0,27119400000.0,-3.4934174932371507
2016-11-29,71.52,-7763000000.0,33127000000.0,40890000000.0,27535200000.0,-3.5469792605951307
2016-11-30,70.89,-7763000000.0,33127000000.0,40890000000.0,27292650000.0,-3.5157348963029755
2016-12-01,71.2,-7763000000.0,33127000000.0,40890000000.0,27412000000.0,-3.531109107303877
2016-12-02,70.31,-7763000000.0,33127000000.0,40890000000.0,27069350000.0,-3.486970243462579
2016-12-05,70.58,-7763000000.0,33127000000.0,40890000000.0,27173300000.0,-3.500360685302074
2016-12-06,71.2,-7763000000.0,33127000000.0,40890000000.0,27412000000.0,-3.531109107303877
2016-12-07,71.96,-7763000000.0,33127000000.0,40890000000.0,27704600000.0,-3.568800721370604
2016-12-08,72.54,-7763000000.0,33127000000.0,40890000000.0,27927900000.0,-3.5975653742110008
2016-12-09,73.25,-7763000000.0,33127000000.0,40890000000.0,28201250000.0,-3.632777276825969
2016-12-12,73.97,-7763000000.0,33127000000.0,40890000000.0,28478450000.0,-3.6684851217312895
2016-12-13,73.95,-7763000000.0,33127000000.0,40890000000.0,28470750000.0,-3.667493237150586
2016-12-14,73.07,-7763000000.0,33127000000.0,40890000000.0,28131950000.0,-3.6238503155996393
2016-12-15,74.46,-7763000000.0,33127000000.0,40890000000.0,28667100000.0,-3.692786293958521
2016-12-16,74.16,-7763000000.0,33127000000.0,40890000000.0,28551600000.0,-3.6779080252479712
2016-12-19,73.5,-7763000000.0,33127000000.0,40890000000.0,28297500000.0,-3.645175834084761
2016-12-20,73.35,-7763000000.0,33127000000.0,40890000000.0,28239750000.0,-3.637736699729486
