date,close price,MET_SHE,MET_TA,MET_TL,market cap,PB Ratio
2009-09-23,33.65,27293000000.0,509457000000.0,481845000000.0,37313855812.299995,1.3671584586633934
2009-09-24,33.13,27293000000.0,509457000000.0,481845000000.0,36737237535.26,1.346031492883157
2009-09-25,32.91,27293000000.0,509457000000.0,481845000000.0,36493283648.82,1.3370931612069028
2009-09-28,34.62,27293000000.0,509457000000.0,481845000000.0,38389470675.24,1.4065683755996041
2009-09-29,34.39,27293000000.0,509457000000.0,481845000000.0,38134427975.78,1.3972237561198841
2009-09-30,33.93,27293000000.0,509457000000.0,481845000000.0,37624342576.86,1.3785345171604442
2009-10-01,32.11,27293000000.0,509457000000.0,481845000000.0,35606178607.22,1.3045901369296158
2009-10-02,31.79,27293000000.0,509457000000.0,481845000000.0,35251336590.58,1.2915889272187009
2009-10-05,33.1,27293000000.0,509457000000.0,481845000000.0,36703971096.200005,1.3448126294727587
2009-10-06,33.63,27293000000.0,509457000000.0,481845000000.0,37291678186.26,1.3663458830564614
2009-10-07,33.34,27293000000.0,509457000000.0,481845000000.0,36970102608.68,1.3545635367559448
2009-10-08,33.93,27293000000.0,509457000000.0,481845000000.0,37624342576.86,1.3785345171604442
2009-10-09,34.09,27293000000.0,509457000000.0,481845000000.0,37801763585.18,1.3850351220159016
2009-10-12,33.95,27293000000.0,509457000000.0,481845000000.0,37646520202.9,1.3793470927673763
2009-10-13,33.01,27293000000.0,509457000000.0,481845000000.0,36604171779.02,1.3411560392415636
2009-10-14,34.07,27293000000.0,509457000000.0,481845000000.0,37779585959.14,1.3842225464089692
2009-10-15,34.18,27293000000.0,509457000000.0,481845000000.0,37901562902.36,1.3886917122470963
2009-10-16,33.23,27293000000.0,509457000000.0,481845000000.0,36848125665.46,1.3500943709178177
2009-10-19,33.79,27293000000.0,509457000000.0,481845000000.0,37469099194.58,1.3728464879119189
2009-10-20,33.04,27293000000.0,509457000000.0,481845000000.0,36637438218.08,1.342374902651962
2009-10-21,32.8,27293000000.0,509457000000.0,481845000000.0,36371306705.6,1.3326239953687757
2009-10-22,33.95,27293000000.0,509457000000.0,481845000000.0,37646520202.9,1.3793470927673763
2009-10-23,32.93,27293000000.0,509457000000.0,481845000000.0,36515461274.86,1.3379057368138352
2009-10-26,32.07,27293000000.0,509457000000.0,481845000000.0,35561823355.14,1.3029649857157513
2009-10-27,31.17,27293000000.0,509457000000.0,481845000000.0,34563830183.340004,1.2663990834038032
2009-10-28,30.45,27293000000.0,509457000000.0,481845000000.0,33765435645.899998,1.2371463615542446
