date,close price,ACN_SHE,ACN_TA,ACN_TL,market cap,PB Ratio
2017-07-14,126.7,8167356000.0,21135592000.0,12968236000.0,83495300000.0,10.223051376724609
2017-07-17,126.42,8167356000.0,21135592000.0,12968236000.0,83184360000.0,10.184980304519602
2017-07-18,127.37,8167356000.0,21135592000.0,12968236000.0,83809460000.0,10.261516701365778
2017-07-19,127.78,8167356000.0,21135592000.0,12968236000.0,84079240000.0,10.294548198952024
2017-07-20,128.54,8167356000.0,21135592000.0,12968236000.0,84579320000.0,10.355777316428965
2017-07-21,128.85,8167356000.0,21135592000.0,12968236000.0,84783300000.0,10.380752351189296
2017-07-24,128.01,8167356000.0,21135592000.0,12968236000.0,84230580000.0,10.313078063451623
2017-07-25,128.95,8167356000.0,21135592000.0,12968236000.0,84849100000.0,10.388808814015208
2017-07-26,129.51,8167356000.0,21135592000.0,12968236000.0,85217580000.0,10.433925005840324
2017-07-27,128.16,8167356000.0,21135592000.0,12968236000.0,84329280000.0,10.325162757690494
2017-07-28,128.4,8167356000.0,21135592000.0,12968236000.0,84487200000.0,10.344498268472686
2017-07-31,128.82,8167356000.0,21135592000.0,12968236000.0,84763560000.0,10.37833541234152
2017-08-01,129.86,8167356000.0,21135592000.0,12968236000.0,85447880000.0,10.46212262573102
2017-08-02,128.62,8167356000.0,21135592000.0,12968236000.0,84631960000.0,10.362222486689696
2017-08-03,130.02,8167356000.0,21135592000.0,12968236000.0,85553160000.0,10.475012966252482
2017-08-04,130.2,8167356000.0,21135592000.0,12968236000.0,85671600000.0,10.489514599339126
2017-08-07,129.68,8167356000.0,21135592000.0,12968236000.0,85329440000.0,10.447620992644376
2017-08-08,129.13,8167356000.0,21135592000.0,12968236000.0,84967540000.0,10.403310447101854
2017-08-09,129.62,8167356000.0,21135592000.0,12968236000.0,85289960000.0,10.442787114948828
2017-08-10,128.24,8167356000.0,21135592000.0,12968236000.0,84381920000.0,10.331607927951225
2017-08-11,128.2,8167356000.0,21135592000.0,12968236000.0,84355600000.0,10.328385342820859
2017-08-14,129.69,8167356000.0,21135592000.0,12968236000.0,85336020000.0,10.448426638926968
2017-08-15,129.38,8167356000.0,21135592000.0,12968236000.0,85132040000.0,10.423451604166637
2017-08-16,130.03,8167356000.0,21135592000.0,12968236000.0,85559740000.0,10.475818612535072
2017-08-17,127.59,8167356000.0,21135592000.0,12968236000.0,83954220000.0,10.279240919582788
2017-08-18,127.44,8167356000.0,21135592000.0,12968236000.0,83855520000.0,10.267156225343918
2017-08-21,128.17,8167356000.0,21135592000.0,12968236000.0,84335860000.0,10.325968403973086
2017-08-22,129.31,8167356000.0,21135592000.0,12968236000.0,85085980000.0,10.417812080188497
2017-08-23,128.36,8167356000.0,21135592000.0,12968236000.0,84460880000.0,10.341275683342321
2017-08-24,128.67,8167356000.0,21135592000.0,12968236000.0,84664860000.0,10.366250718102652
2017-08-25,129.39,8167356000.0,21135592000.0,12968236000.0,85138620000.0,10.424257250449227
2017-08-28,129.24,8167356000.0,21135592000.0,12968236000.0,85039920000.0,10.412172556210358
2017-08-29,129.66,8167356000.0,21135592000.0,12968236000.0,85316280000.0,10.446009700079193
2017-08-30,129.79,8167356000.0,21135592000.0,12968236000.0,85401820000.0,10.45648310175288
2017-08-31,130.76,8167356000.0,21135592000.0,12968236000.0,86040080000.0,10.53463079116424
2017-09-01,130.1,8167356000.0,21135592000.0,12968236000.0,85605800000.0,10.481458136513211
2017-09-05,129.77,8167356000.0,21135592000.0,12968236000.0,85388660000.0,10.454871809187697
2017-09-06,131.12,8167356000.0,21135592000.0,12968236000.0,86276960000.0,10.563634057337527
2017-09-07,134.24,8167356000.0,21135592000.0,12968236000.0,88329920000.0,10.814995697506022
2017-09-08,133.72,8167356000.0,21135592000.0,12968236000.0,87987760000.0,10.773102090811273
2017-09-11,136.23,8167356000.0,21135592000.0,12968236000.0,89639340000.0,10.975319307741698
2017-09-12,136.22,8167356000.0,21135592000.0,12968236000.0,89632760000.0,10.974513661459106
2017-09-13,134.78,8167356000.0,21135592000.0,12968236000.0,88685240000.0,10.858500596765955
2017-09-14,134.86,8167356000.0,21135592000.0,12968236000.0,88737880000.0,10.864945767026684
2017-09-15,135.35,8167356000.0,21135592000.0,12968236000.0,89060300000.0,10.904422434873661
2017-09-18,136.94,8167356000.0,21135592000.0,12968236000.0,90106520000.0,11.032520193805682
2017-09-19,136.71,8167356000.0,21135592000.0,12968236000.0,89955180000.0,11.01399032930608
2017-09-20,138.01,8167356000.0,21135592000.0,12968236000.0,90810580000.0,11.118724346042955
2017-09-21,136.66,8167356000.0,21135592000.0,12968236000.0,89922280000.0,11.009962097893125
2017-09-22,137.9,8167356000.0,21135592000.0,12968236000.0,90738200000.0,11.10986223693445
2017-09-25,138.16,8167356000.0,21135592000.0,12968236000.0,90909280000.0,11.130809040281825
2017-09-26,136.84,8167356000.0,21135592000.0,12968236000.0,90040720000.0,11.024463730979768
2017-09-27,136.64,8167356000.0,21135592000.0,12968236000.0,89909120000.0,11.008350805327941
2017-09-28,136.32,8167356000.0,21135592000.0,12968236000.0,89698560000.0,10.982570124285019
2017-09-29,135.07,8167356000.0,21135592000.0,12968236000.0,88876060000.0,10.881864338961103
2017-10-02,135.44,8167356000.0,21135592000.0,12968236000.0,89119520000.0,10.911673251416982
2017-10-03,134.25,8167356000.0,21135592000.0,12968236000.0,88336500000.0,10.815801343788614
2017-10-04,135.16,8167356000.0,21135592000.0,12968236000.0,88935280000.0,10.889115155504426
2017-10-05,136.22,8167356000.0,21135592000.0,12968236000.0,89632760000.0,10.974513661459106
2017-10-06,136.25,8167356000.0,21135592000.0,12968236000.0,89652500000.0,10.976930600306881
2017-10-09,136.99,8167356000.0,21135592000.0,12968236000.0,90139420000.0,11.036548425218639
2017-10-10,137.52,8167356000.0,21135592000.0,12968236000.0,90488160000.0,11.07924767819598
2017-10-11,136.91,8167356000.0,21135592000.0,12968236000.0,90086780000.0,11.030103254957908
2017-10-12,139.2,8167356000.0,21135592000.0,12968236000.0,91593600000.0,11.214596253671322
2017-10-13,139.2,8167356000.0,21135592000.0,12968236000.0,91593600000.0,11.214596253671322
2017-10-16,139.09,8167356000.0,21135592000.0,12968236000.0,91382130000.0,11.188704153461659
2017-10-17,138.65,8167356000.0,21135592000.0,12968236000.0,91093050000.0,11.15330959003134
2017-10-18,137.42,8167356000.0,21135592000.0,12968236000.0,90284940000.0,11.054365696805673
2017-10-19,138.62,8167356000.0,21135592000.0,12968236000.0,91073340000.0,11.15089632434291
2017-10-20,139.49,8167356000.0,21135592000.0,12968236000.0,91644930000.0,11.220881029307403
2017-10-23,139.33,8167356000.0,21135592000.0,12968236000.0,91539810000.0,11.208010278969105
2017-10-24,138.91,8167356000.0,21135592000.0,12968236000.0,91263870000.0,11.174224559331073
2017-10-25,141.16,8167356000.0,21135592000.0,12968236000.0,92742120000.0,11.355219485963389
2017-10-26,141.97,8949477000.0,22689890000.0,13740413000.0,93274290000.0,10.422317415866871
2017-10-27,143.28,8949477000.0,22689890000.0,13740413000.0,94134960000.0,10.518487281435553
2017-10-30,143.29,8949477000.0,22689890000.0,13740413000.0,94141530000.0,10.519221402546764
2017-10-31,142.36,8949477000.0,22689890000.0,13740413000.0,93530520000.0,10.450948139204112
2017-11-01,142.96,8949477000.0,22689890000.0,13740413000.0,93924720000.0,10.494995405876791
2017-11-02,143.43,8949477000.0,22689890000.0,13740413000.0,94233510000.0,10.529499098103722
