date,close price,HON_SHE,HON_TA,HON_TL,market cap,PB Ratio
2007-08-17,51.92,7800000000.0,31771000000.0,23971000000.0,39964736836.64,5.123684209825641
2007-08-20,53.22,7800000000.0,31771000000.0,23971000000.0,40965394731.24,5.251973683492308
2007-08-21,52.45,7800000000.0,31771000000.0,23971000000.0,40372697362.9,5.175986841397436
2007-08-22,53.22,7800000000.0,31771000000.0,23971000000.0,40965394731.24,5.251973683492308
2007-08-23,53.26,7800000000.0,31771000000.0,23971000000.0,40996184204.92,5.2559210519128206
2007-08-24,53.2,7800000000.0,31771000000.0,23971000000.0,40949999994.4,5.249999999282052
2007-08-27,54.25,7800000000.0,31771000000.0,23971000000.0,41758223678.5,5.353618420320513
2007-08-28,53.0,7800000000.0,31771000000.0,23971000000.0,40796052626.0,5.230263157179487
2007-08-29,54.34,7800000000.0,31771000000.0,23971000000.0,41827499994.28001,5.362499999266667
2007-08-30,53.67,7800000000.0,31771000000.0,23971000000.0,41311776310.14,5.296381578223077
2007-08-31,53.53,7800000000.0,31771000000.0,23971000000.0,41204013152.26,5.282565788751282
2007-09-04,53.73,7800000000.0,31771000000.0,23971000000.0,41357960520.659996,5.302302630853846
2007-09-05,52.66,7800000000.0,31771000000.0,23971000000.0,40534342099.71999,5.196710525605128
2007-09-06,54.02,7800000000.0,31771000000.0,23971000000.0,41581184204.840004,5.330921051902565
2007-09-07,52.16,7800000000.0,31771000000.0,23971000000.0,40149473678.71999,5.147368420348717
2007-09-10,52.49,7800000000.0,31771000000.0,23971000000.0,40403486836.58,5.179934209817949
2007-09-11,53.6,7800000000.0,31771000000.0,23971000000.0,41257894731.200005,5.28947368348718
2007-09-12,53.36,7800000000.0,31771000000.0,23971000000.0,41073157889.12,5.265789472964103
2007-09-13,53.67,7800000000.0,31771000000.0,23971000000.0,41311776310.14,5.296381578223077
2007-09-14,53.81,7800000000.0,31771000000.0,23971000000.0,41419539468.020004,5.310197367694872
2007-09-17,53.71,7800000000.0,31771000000.0,23971000000.0,41342565783.82,5.30032894664359
2007-09-18,54.61,7800000000.0,31771000000.0,23971000000.0,42035328941.62,5.389144736105129
2007-09-19,55.54,7800000000.0,31771000000.0,23971000000.0,42751184204.68,5.480921051882051
2007-09-20,55.46,7800000000.0,31771000000.0,23971000000.0,42689605257.32,5.473026315041025
2007-09-21,55.95,7800000000.0,31771000000.0,23971000000.0,43066776309.9,5.521381578192308
2007-09-24,55.3,7800000000.0,31771000000.0,23971000000.0,42566447362.6,5.4572368413589745
2007-09-25,56.33,7800000000.0,31771000000.0,23971000000.0,43359276309.86,5.558881578187179
2007-09-26,56.53,7800000000.0,31771000000.0,23971000000.0,43513223678.26,5.578618420289744
2007-09-27,56.44,7800000000.0,31771000000.0,23971000000.0,43443947362.479996,5.569736841343589
2007-09-28,56.7,7800000000.0,31771000000.0,23971000000.0,43644078941.4,5.595394736076924
2007-10-01,57.93,7800000000.0,31771000000.0,23971000000.0,44244037500.0,5.6723125
2007-10-02,56.96,7800000000.0,31771000000.0,23971000000.0,43503200000.0,5.577333333333334
2007-10-03,57.12,7800000000.0,31771000000.0,23971000000.0,43625400000.0,5.593
2007-10-04,56.81,7800000000.0,31771000000.0,23971000000.0,43388637500.0,5.562645833333334
2007-10-05,57.03,7800000000.0,31771000000.0,23971000000.0,43556662500.0,5.5841875
2007-10-08,57.76,7800000000.0,31771000000.0,23971000000.0,44114200000.0,5.655666666666667
2007-10-09,58.38,7800000000.0,31771000000.0,23971000000.0,44587725000.0,5.716375
2007-10-10,57.88,7800000000.0,31771000000.0,23971000000.0,44205850000.0,5.667416666666667
2007-10-11,58.04,7800000000.0,31771000000.0,23971000000.0,44328050000.0,5.683083333333333
2007-10-12,58.83,7800000000.0,31771000000.0,23971000000.0,44931412500.0,5.7604375
2007-10-15,58.51,7800000000.0,31771000000.0,23971000000.0,44687012500.0,5.729104166666667
