date,close price,UPS_SHE,UPS_TA,UPS_TL,market cap,PB Ratio
2018-10-23,114.24,2328000000.0,45223000000.0,42895000000.0,99388800000.0,42.69278350515464
2018-10-24,107.93,2328000000.0,45223000000.0,42895000000.0,93899100000.0,40.33466494845361
2018-10-25,107.82,2328000000.0,45223000000.0,42895000000.0,93803400000.0,40.29355670103093
2018-10-26,105.31,2328000000.0,45223000000.0,42895000000.0,91619700000.0,39.3555412371134
2018-10-29,105.13,2328000000.0,45223000000.0,42895000000.0,91463100000.0,39.288273195876286
2018-10-30,107.07,3098000000.0,46689000000.0,43591000000.0,93150900000.0,30.06807617817947
2018-10-31,106.54,3098000000.0,46689000000.0,43591000000.0,92689800000.0,29.919238218205294
2018-11-01,107.52,3098000000.0,46689000000.0,43591000000.0,93542400000.0,30.194448030987733
2018-11-02,105.99,3098000000.0,46689000000.0,43591000000.0,92211300000.0,29.76478373143964
2018-11-05,106.82,3098000000.0,46689000000.0,43591000000.0,92933400000.0,29.99786959328599
2018-11-06,108.65,3098000000.0,46689000000.0,43591000000.0,94525500000.0,30.511781794706263
2018-11-07,111.13,3098000000.0,46689000000.0,43591000000.0,96683100000.0,31.208231116849582
2018-11-08,111.5,3098000000.0,46689000000.0,43591000000.0,97005000000.0,31.31213686249193
2018-11-09,109.51,3098000000.0,46689000000.0,43591000000.0,95273700000.0,30.75329244673983
2018-11-12,107.72,3098000000.0,46689000000.0,43591000000.0,93716400000.0,30.25061329890252
2018-11-13,109.4,3098000000.0,46689000000.0,43591000000.0,95178000000.0,30.722401549386703
2018-11-14,109.5,3098000000.0,46689000000.0,43591000000.0,95265000000.0,30.750484183344092
2018-11-15,110.45,3098000000.0,46689000000.0,43591000000.0,96091500000.0,31.017269205939314
2018-11-16,110.09,3098000000.0,46689000000.0,43591000000.0,95778300000.0,30.916171723692706
2018-11-19,111.29,3098000000.0,46689000000.0,43591000000.0,96822300000.0,31.25316333118141
2018-11-20,108.51,3098000000.0,46689000000.0,43591000000.0,94403700000.0,30.472466107165914
2018-11-21,108.77,3098000000.0,46689000000.0,43591000000.0,94629900000.0,30.545480955455133
2018-11-23,108.69,3098000000.0,46689000000.0,43591000000.0,94560300000.0,30.52301484828922
2018-11-26,110.64,3098000000.0,46689000000.0,43591000000.0,96256800000.0,31.07062621045836
2018-11-27,111.51,3098000000.0,46689000000.0,43591000000.0,97013700000.0,31.314945125887668
2018-11-28,113.55,3098000000.0,46689000000.0,43591000000.0,98788500000.0,31.887830858618464
2018-11-29,113.26,3098000000.0,46689000000.0,43591000000.0,98536200000.0,31.80639122014203
2018-11-30,115.29,3098000000.0,46689000000.0,43591000000.0,100302300000.0,32.37646868947708
2018-12-03,115.27,3098000000.0,46689000000.0,43591000000.0,100284900000.0,32.3708521626856
2018-12-04,106.77,3098000000.0,46689000000.0,43591000000.0,92889900000.0,29.983828276307296
2018-12-06,108.04,3098000000.0,46689000000.0,43591000000.0,93994800000.0,30.34047772756617
2018-12-07,105.32,3098000000.0,46689000000.0,43591000000.0,91628400000.0,29.576630083925114
2018-12-10,104.4,3098000000.0,46689000000.0,43591000000.0,90828000000.0,29.31826985151711
2018-12-11,103.58,3098000000.0,46689000000.0,43591000000.0,90114600000.0,29.087992253066496
2018-12-12,101.21,3098000000.0,46689000000.0,43591000000.0,88052700000.0,28.422433828276308
2018-12-13,100.78,3098000000.0,46689000000.0,43591000000.0,87678600000.0,28.301678502259524
2018-12-14,98.66,3098000000.0,46689000000.0,43591000000.0,85834200000.0,27.706326662362816
2018-12-17,96.87,3098000000.0,46689000000.0,43591000000.0,84276900000.0,27.2036475145255
2018-12-18,97.28,3098000000.0,46689000000.0,43591000000.0,84633600000.0,27.318786313750806
2018-12-19,94.32,3098000000.0,46689000000.0,43591000000.0,82058400000.0,26.487540348612008
2018-12-20,93.94,3098000000.0,46689000000.0,43591000000.0,81727800000.0,26.380826339573918
2018-12-21,93.5,3098000000.0,46689000000.0,43591000000.0,81345000000.0,26.257262750161395
2018-12-24,89.89,3098000000.0,46689000000.0,43591000000.0,78204300000.0,25.24347966429955
2018-12-26,96.61,3098000000.0,46689000000.0,43591000000.0,84050700000.0,27.13063266623628
2018-12-27,97.78,3098000000.0,46689000000.0,43591000000.0,85068600000.0,27.459199483537766
2018-12-28,96.53,3098000000.0,46689000000.0,43591000000.0,83981100000.0,27.10816655907037
2018-12-31,97.53,3098000000.0,46689000000.0,43591000000.0,84851100000.0,27.388992898644286
2019-01-02,97.21,3098000000.0,46689000000.0,43591000000.0,84475490000.0,27.26775016139445
2019-01-03,94.45,3098000000.0,46689000000.0,43591000000.0,82077050000.0,26.493560361523564
2019-01-04,97.74,3098000000.0,46689000000.0,43591000000.0,84936060000.0,27.416417043253713
2019-01-07,97.41,3098000000.0,46689000000.0,43591000000.0,84649290000.0,27.32385087153002
2019-01-08,97.42,3098000000.0,46689000000.0,43591000000.0,84657980000.0,27.3266559070368
2019-01-09,97.92,3098000000.0,46689000000.0,43591000000.0,85092480000.0,27.466907682375727
2019-01-10,98.91,3098000000.0,46689000000.0,43591000000.0,85952790000.0,27.744606197546805
2019-01-11,97.91,3098000000.0,46689000000.0,43591000000.0,85083790000.0,27.464102646868948
2019-01-14,99.14,3098000000.0,46689000000.0,43591000000.0,86152660000.0,27.80912201420271
2019-01-15,97.56,3098000000.0,46689000000.0,43591000000.0,84779640000.0,27.3659264041317
2019-01-16,96.99,3098000000.0,46689000000.0,43591000000.0,84284310000.0,27.20603938024532
