date,close price,AVB_SHE,AVB_TA,AVB_TL,market cap,PB Ratio
2003-05-12,41.88,2194540000.0,4950835000.0,2678852000.0,4574971200.0,2.0847062254504363
2003-05-13,42.26,2194540000.0,4950835000.0,2678852000.0,4616482400.0,2.1036218979831762
2003-05-14,42.06,2151524000.0,5004230000.0,2776264000.0,4594634400.0,2.1355255158668927
2003-05-15,42.27,2151524000.0,5004230000.0,2776264000.0,4617574800.0,2.1461879114525333
2003-05-16,42.61,2151524000.0,5004230000.0,2776264000.0,4654716400.0,2.1634508376388086
2003-05-19,42.49,2151524000.0,5004230000.0,2776264000.0,4641607600.0,2.1573580401612995
2003-05-20,42.8,2151524000.0,5004230000.0,2776264000.0,4675472000.0,2.1730977669781977
2003-05-21,43.14,2151524000.0,5004230000.0,2776264000.0,4712613600.0,2.190360693164473
2003-05-22,42.97,2151524000.0,5004230000.0,2776264000.0,4694042800.0,2.1817292300713356
2003-05-23,43.0,2151524000.0,5004230000.0,2776264000.0,4697320000.0,2.1832524294407127
2003-05-27,42.92,2151524000.0,5004230000.0,2776264000.0,4688580800.0,2.179190564455707
2003-05-28,42.22,2151524000.0,5004230000.0,2776264000.0,4612112800.0,2.1436492458369045
2003-05-29,41.05,2151524000.0,5004230000.0,2776264000.0,4484302000.0,2.084244470431192
2003-05-30,41.93,2151524000.0,5004230000.0,2776264000.0,4580433200.0,2.128924985266258
2003-06-02,42.43,2151524000.0,5004230000.0,2776264000.0,4635053200.0,2.154311641422545
2003-06-03,42.77,2151524000.0,5004230000.0,2776264000.0,4672194800.0,2.1715745676088205
2003-06-04,43.26,2151524000.0,5004230000.0,2776264000.0,4725722400.0,2.196453490641982
2003-06-05,43.39,2151524000.0,5004230000.0,2776264000.0,4739923600.0,2.203054021242617
2003-06-06,44.3,2151524000.0,5004230000.0,2776264000.0,4839332000.0,2.2492577354470598
2003-06-09,43.46,2151524000.0,5004230000.0,2776264000.0,4747570400.0,2.206608153104497
2003-06-10,43.94,2151524000.0,5004230000.0,2776264000.0,4800005600.0,2.230979343014533
2003-06-11,44.27,2151524000.0,5004230000.0,2776264000.0,4836054800.0,2.2477345360776826
2003-06-12,43.85,2151524000.0,5004230000.0,2776264000.0,4790174000.0,2.2264097449064013
2003-06-13,43.31,2151524000.0,5004230000.0,2776264000.0,4731184400.0,2.198992156257611
2003-06-16,43.66,2151524000.0,5004230000.0,2776264000.0,4769418400.0,2.216762815567012
2003-06-17,43.42,2151524000.0,5004230000.0,2776264000.0,4743200800.0,2.204577220611994
2003-06-18,43.01,2151524000.0,5004230000.0,2776264000.0,4698412400.0,2.1837601625638383
2003-06-19,42.58,2151524000.0,5004230000.0,2776264000.0,4651439200.0,2.1619276382694315
2003-06-20,42.19,2151524000.0,5004230000.0,2776264000.0,4608835600.0,2.1421260464675274
2003-06-23,41.95,2151524000.0,5004230000.0,2776264000.0,4582618000.0,2.129940451512509
2003-06-24,42.38,2151524000.0,5004230000.0,2776264000.0,4629591200.0,2.1517729758069164
2003-06-25,42.65,2151524000.0,5004230000.0,2776264000.0,4659086000.0,2.1654817701313114
2003-06-26,43.67,2151524000.0,5004230000.0,2776264000.0,4770510800.0,2.217270548690138
2003-06-27,43.0,2151524000.0,5004230000.0,2776264000.0,4697320000.0,2.1832524294407127
2003-06-30,42.64,2151524000.0,5004230000.0,2776264000.0,4657993600.0,2.164974037008186
2003-07-01,43.57,2151524000.0,5004230000.0,2776264000.0,3571930817.96,1.66018636927127
2003-07-02,44.3,2151524000.0,5004230000.0,2776264000.0,3631777260.3999996,1.6880022069937402
2003-07-03,44.5,2151524000.0,5004230000.0,2776264000.0,3648173546.0,1.6956229844519513
2003-07-07,44.5,2151524000.0,5004230000.0,2776264000.0,3648173546.0,1.6956229844519513
2003-07-08,44.2,2151524000.0,5004230000.0,2776264000.0,3623579117.6000004,1.684191818264635
2003-07-09,43.75,2151524000.0,5004230000.0,2776264000.0,3586687475.0,1.66704506898366
2003-07-10,43.15,2151524000.0,5004230000.0,2776264000.0,3537498618.2,1.644182736609027
2003-07-11,43.52,2151524000.0,5004230000.0,2776264000.0,3567831746.5600004,1.6582811749067174
2003-07-14,43.73,2151524000.0,5004230000.0,2776264000.0,3585047846.4399996,1.6662829912378387
2003-07-15,43.63,2151524000.0,5004230000.0,2776264000.0,3576849703.6400003,1.6624726025087335
2003-07-16,43.5,2151524000.0,5004230000.0,2776264000.0,3566192118.0,1.6575190971608962
2003-07-17,42.5,2151524000.0,5004230000.0,2776264000.0,3484210690.0,1.619415209869841
2003-07-18,42.7,2151524000.0,5004230000.0,2776264000.0,3500606975.6000004,1.6270359873280522
2003-07-21,43.1,2151524000.0,5004230000.0,2776264000.0,3533399546.8,1.6422775422444742
2003-07-22,43.3,2151524000.0,5004230000.0,2776264000.0,3549795832.3999996,1.649898319702685
