date,VRSK,VRSK_SHE,PB Ratio
2016-10-26,13938501107.960001,1449864000.0,9.613661079908185
2016-10-27,13907690225.0,1449864000.0,9.592410201922387
2016-10-28,13924807382.199999,1449864000.0,9.60421624524783
2016-10-31,13959041696.6,1449864000.0,9.627828331898716
2016-11-01,13854627037.68,1475430000.0,9.390229992395437
2016-11-02,14072014934.119999,1475430000.0,9.537568664131811
2016-11-03,14106249248.519999,1475430000.0,9.560771604562737
2016-11-04,13994987726.720001,1475430000.0,9.485362048162232
2016-11-07,14224357633.199999,1475430000.0,9.64082174904943
2016-11-08,14188411603.08,1475430000.0,9.616458661596958
2016-11-09,14263727094.76,1475430000.0,9.667505130544994
2016-11-10,14227781064.640001,1475430000.0,9.643142043092523
2016-11-11,14229492780.359999,1475430000.0,9.644302190114068
2016-11-14,14178141308.76,1475430000.0,9.60949777946768
2016-11-15,14154177288.68,1475430000.0,9.593255721166033
2016-11-16,14087420375.6,1475430000.0,9.54800998732573
2016-11-17,14207240476.0,1475430000.0,9.629220278833968
2016-11-18,14234627927.519999,1475430000.0,9.647782631178707
2016-11-21,14335619155.0,1475430000.0,9.716231305449936
2016-11-22,14371565185.119999,1475430000.0,9.740594392902407
2016-11-23,14359583175.08,1475430000.0,9.732473363751584
2016-11-25,14397240920.92,1475430000.0,9.757996598225603
2016-11-28,14404087783.800001,1475430000.0,9.762637186311787
2016-11-29,14357871459.359999,1475430000.0,9.731313216730037
2016-11-30,14220934201.76,1475430000.0,9.638501455006338
2016-12-01,14097690669.92,1475430000.0,9.554970869455007
2016-12-02,14070303218.4,1475430000.0,9.536408517110265
2016-12-05,14191835034.519999,1475430000.0,9.61877895564005
2016-12-06,14214087338.880001,1475430000.0,9.633860866920152
2016-12-07,14231204496.08,1475430000.0,9.645462337135614
2016-12-08,14239763074.68,1475430000.0,9.651263072243346
2016-12-09,14195258465.960001,1475430000.0,9.621099249683144
2016-12-12,14212375623.16,1475430000.0,9.632700719898606
2016-12-13,14304808272.039999,1475430000.0,9.695348659062104
2016-12-14,14044627482.6,1475430000.0,9.519006311787072
2016-12-15,13912825372.16,1475430000.0,9.42967499112801
2016-12-16,13998411158.16,1475430000.0,9.487682342205323
2016-12-19,14054897776.92,1475430000.0,9.52596719391635
2016-12-20,14099402385.640001,1475430000.0,9.556131016476554
2016-12-21,14109672679.960001,1475430000.0,9.563091898605832
2016-12-22,14048050914.039999,1475430000.0,9.521326605830165
2016-12-23,14054897776.92,1475430000.0,9.52596719391635
2016-12-27,14061744639.800001,1475430000.0,9.530607782002535
2016-12-28,13976158853.800001,1475430000.0,9.472600430925223
2016-12-29,13984717432.4,1475430000.0,9.478401166032953
