date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-02-25,82.39,4038300000.0,4738900000.0,700600000.0,14508879000.0,3.5928185127405095
2019-02-26,82.02,4038300000.0,4738900000.0,700600000.0,14443722000.0,3.5766837530644082
2019-02-27,81.24,4038300000.0,4738900000.0,700600000.0,14306364000.0,3.5426699353688433
2019-02-28,81.66,4038300000.0,4738900000.0,700600000.0,14380326000.0,3.5609850679741477
2019-03-01,81.98,4038300000.0,4738900000.0,700600000.0,14436678000.0,3.574939454721046
2019-03-04,82.22,4038300000.0,4738900000.0,700600000.0,14478942000.0,3.58540524478122
2019-03-05,81.88,4038300000.0,4738900000.0,700600000.0,14419068000.0,3.5705787088626404
2019-03-06,80.99,4038300000.0,4738900000.0,700600000.0,14262339000.0,3.531768070722829
2019-03-07,79.5,4038300000.0,4738900000.0,700600000.0,13999950000.0,3.466792957432583
2019-03-08,80.13,4038300000.0,4738900000.0,700600000.0,14110893000.0,3.494265656340539
2019-03-11,81.48,4038300000.0,4738900000.0,700600000.0,14348628000.0,3.553135725429017
2019-03-12,82.26,4038300000.0,4738900000.0,700600000.0,14485986000.0,3.5871495431245823
2019-03-13,81.77,4038300000.0,4738900000.0,700600000.0,14399697000.0,3.565781888418394
2019-03-14,81.43,4038300000.0,4738900000.0,700600000.0,14339823000.000002,3.5509553524998148
2019-03-15,83.76,4038300000.0,4738900000.0,700600000.0,14750136000.0,3.6525607310006687
2019-03-18,82.59,4038300000.0,4738900000.0,700600000.0,14544099000.0,3.601540004457321
2019-03-19,83.42,4038300000.0,4738900000.0,700600000.0,14690262000.0,3.637734195082089
2019-03-20,81.75,4038300000.0,4738900000.0,700600000.0,14396175000.0,3.564909739246713
2019-03-21,86.07,4038300000.0,4738900000.0,700600000.0,15156926999.999998,3.753293960329841
2019-03-22,82.59,4038300000.0,4738900000.0,700600000.0,14544099000.0,3.601540004457321
2019-03-25,81.45,4038300000.0,4738900000.0,700600000.0,14343345000.0,3.5518275016714953
2019-03-26,82.12,4038300000.0,4738900000.0,700600000.0,14461332000.0,3.581044498922814
2019-03-27,80.59,4038300000.0,4738900000.0,700600000.0,14191899000.0,3.514325087289206
2019-03-28,80.54,4038300000.0,4738900000.0,700600000.0,14183094000.000002,3.5121447143600033
2019-03-29,82.48,4038300000.0,4738900000.0,700600000.0,14524728000.0,3.596743184013075
2019-04-01,83.86,4038300000.0,4738900000.0,700600000.0,14692272000.0,3.638231929277171
2019-04-02,84.16,4038300000.0,4738900000.0,700600000.0,14744832000.0,3.6512473070351383
