date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
2019-11-06,54.28,17399000000.0,64937000000.0,47538000000.0,40302900000.0,2.3163917466521062
2019-11-07,55.8,17399000000.0,64937000000.0,47538000000.0,41431500000.0,2.381257543536985
2019-11-08,55.99,17399000000.0,64937000000.0,47538000000.0,41572575000.0,2.3893657681475946
2019-11-11,55.81,17399000000.0,64937000000.0,47538000000.0,41438925000.0,2.3816842922007013
2019-11-12,55.16,17399000000.0,64937000000.0,47538000000.0,40956300000.0,2.353945629059141
2019-11-13,53.66,17399000000.0,64937000000.0,47538000000.0,39842550000.0,2.2899333295016957
2019-11-14,53.95,17399000000.0,64937000000.0,47538000000.0,40057875000.0,2.3023090407494684
2019-11-15,54.86,17399000000.0,64937000000.0,47538000000.0,40733550000.0,2.341143169147652
2019-11-18,54.32,17399000000.0,64937000000.0,47538000000.0,40332600000.0,2.318098741306972
2019-11-19,53.39,17399000000.0,64937000000.0,47538000000.0,39642075000.0,2.2784111155813553
2019-11-20,52.67,17399000000.0,64937000000.0,47538000000.0,39107475000.0,2.2476852117937813
2019-11-21,53.88,17399000000.0,64937000000.0,47538000000.0,40005900000.0,2.299321800103454
2019-11-22,54.2,17399000000.0,64937000000.0,47538000000.0,40243500000.0,2.312977757342376
2019-11-25,55.2,17399000000.0,64937000000.0,47538000000.0,40986000000.0,2.3556526237140067
2019-11-26,55.37,17399000000.0,64937000000.0,47538000000.0,41112225000.0,2.3629073509971836
2019-11-27,54.28,17399000000.0,64937000000.0,47538000000.0,40302900000.0,2.3163917466521062
2019-11-29,53.37,17399000000.0,64937000000.0,47538000000.0,39627225000.0,2.2775576182539226
2019-12-02,53.16,17399000000.0,64937000000.0,47538000000.0,39471300000.0,2.26859589631588
2019-12-03,51.82,17399000000.0,64937000000.0,47538000000.0,38476350000.0,2.211411575377895
2019-12-04,52.28,17399000000.0,64937000000.0,47538000000.0,38817900000.0,2.231042013908845
2019-12-05,52.0,17399000000.0,64937000000.0,47538000000.0,38610000000.0,2.219093051324789
2019-12-06,53.22,17399000000.0,64937000000.0,47538000000.0,39515850000.0,2.271156388298178
2019-12-09,53.27,17399000000.0,64937000000.0,47538000000.0,39552975000.0,2.2732901316167595
2019-12-10,53.13,17399000000.0,64937000000.0,47538000000.0,39449025000.0,2.2673156503247314
2019-12-11,53.1,17399000000.0,64937000000.0,47538000000.0,39426750000.0,2.266035404333582
2019-12-12,54.45,17399000000.0,64937000000.0,47538000000.0,40429125000.0,2.3236464739352836
2019-12-13,53.28,17399000000.0,64937000000.0,47538000000.0,39560400000.0,2.273716880280476
2019-12-16,54.17,17399000000.0,64937000000.0,47538000000.0,40221225000.0,2.3116975113512273
