date,WFC,WFC_SHE,PB Ratio
2003-09-15,42422799986.1,65835000000.0,0.6443806483800409
2003-09-16,42778866652.65,65835000000.0,0.6497891190498974
2003-09-17,42914511097.049995,65835000000.0,0.6518494888288904
2003-09-18,43745333319.0,65835000000.0,0.6644692537252221
2003-09-19,43796199985.649994,65835000000.0,0.6652418923923444
2003-09-22,43321444430.25,65835000000.0,0.6580305981658692
2003-09-23,43253622208.05,65835000000.0,0.6570004132763728
2003-09-24,43016244430.35,65835000000.0,0.6533947661631351
2003-09-25,43202755541.4,65835000000.0,0.6562277746092504
2003-09-26,43575777763.5,65835000000.0,0.661893791501481
2003-09-29,43847066652.299995,65835000000.0,0.6660145310594667
2003-09-30,43660555541.25,65835000000.0,0.6631815226133516
2003-10-01,44943260268.9,65835000000.0,0.6826651518022329
2003-10-02,44994235611.36,65835000000.0,0.6834394411993621
2003-10-03,45232120542.840004,65835000000.0,0.6870527917192983
2003-10-06,45317079446.94,65835000000.0,0.6883432740478469
2003-10-07,46013742460.56,65835000000.0,0.6989252291419458
2003-10-08,45996750679.74,65835000000.0,0.698667132676236
2003-10-09,46047726022.200005,65835000000.0,0.6994414220733653
2003-10-10,46353578076.96,65835000000.0,0.7040871584561403
2003-10-13,46778372597.46,65835000000.0,0.7105395700988836
2003-10-14,46863331501.56,65835000000.0,0.7118300524274321
2003-10-15,46744389035.82,65835000000.0,0.7100233771674641
2003-10-16,46778372597.46,65835000000.0,0.7105395700988836
2003-10-17,46727397255.0,65835000000.0,0.7097652807017544
2003-10-20,47033249309.76,65835000000.0,0.7144110170845296
2003-10-21,47152191775.5,65835000000.0,0.7162176923444976
2003-10-22,46506504104.340004,65835000000.0,0.7064100266475279
2003-10-23,46914306844.02,65835000000.0,0.7126043418245613
2003-10-24,46727397255.0,65835000000.0,0.7097652807017544
2003-10-27,46251627392.04,65835000000.0,0.702538579661882
2003-10-28,46659430131.72,65835000000.0,0.7087328948389154
2003-10-29,46642438350.9,65835000000.0,0.7084747983732058
2003-10-30,47050241090.58,65835000000.0,0.7146691135502392
2003-10-31,47848854789.12,65835000000.0,0.7267996474385965
2003-11-03,48324624652.08,65835000000.0,0.7340263484784689
2003-11-04,47559994515.18,65835000000.0,0.7224120075215311
2003-11-05,47305117802.88,65835000000.0,0.7185405605358851
2003-11-06,47373084926.159996,65835000000.0,0.719572946398724
2003-11-07,47237150679.6,69436000000.0,0.6802976939858286
2003-11-10,47152191775.5,69436000000.0,0.679074136982257
2003-11-11,47526010953.54,69436000000.0,0.6844577877979723
2003-11-12,48205682186.340004,69436000000.0,0.6942462438265453
2003-11-13,48562509583.56,69436000000.0,0.6993851832415461
2003-11-14,48035764378.14,69436000000.0,0.6917991298194021
2003-11-17,48052756158.96,69436000000.0,0.6920438412201163
2003-11-18,47712920542.56,69436000000.0,0.6871496132058298
2003-11-19,47916821912.4,69436000000.0,0.6900861500144018
2003-11-20,47882838350.76,69436000000.0,0.6895967272129732
2003-11-21,48001780816.5,69436000000.0,0.6913097070179733
2003-11-24,48188690405.52,69436000000.0,0.694001532425831
2003-11-25,48562509583.56,69436000000.0,0.6993851832415461
2003-11-26,48732427391.76,69436000000.0,0.7018322972486895
2003-11-28,48715435610.94,69436000000.0,0.7015875858479752
2003-12-01,49072263008.159996,69436000000.0,0.706726525262976
2003-12-02,48562509583.56,69436000000.0,0.6993851832415461
2003-12-03,48222673967.159996,69436000000.0,0.6944909552272596
2003-12-04,48358608213.72,69436000000.0,0.6964486464329742
2003-12-05,48256657528.799995,69436000000.0,0.6949803780286882
2003-12-08,48613484926.02,69436000000.0,0.7001193174436892
2003-12-09,47950805474.04,69436000000.0,0.6905755728158304
2003-12-10,47933813693.22,69436000000.0,0.6903308614151161
2003-12-11,48341616432.9,69436000000.0,0.69620393503226
2003-12-12,48426575337.0,69436000000.0,0.6974274920358315
2003-12-15,47644953419.28,69436000000.0,0.6861707676029725
2003-12-16,48562509583.56,69436000000.0,0.6993851832415461
2003-12-17,48681452049.299995,69436000000.0,0.7010981630465464
2003-12-18,49106246569.799995,69436000000.0,0.7072159480644046
2003-12-19,49344131501.28,69436000000.0,0.7106419076744052
2003-12-22,49276164378.0,69436000000.0,0.709663062071548
2003-12-23,49582016432.76,69436000000.0,0.7140678672844059
