date,LLY,LLY_SHE,PB Ratio
2003-05-23,62599901938.0,0.0,inf
2003-05-27,63892843114.0,0.0,inf
2003-05-28,63246372526.0,0.0,inf
2003-05-29,62729196055.6,0.0,inf
2003-05-30,64399245074.600006,0.0,inf
2003-06-02,62653774487.0,0.0,inf
2003-06-03,64216078408.0,0.0,inf
2003-06-04,64840999976.4,0.0,inf
2003-06-05,66500274485.6,0.0,inf
2003-06-06,65918450956.4,0.0,inf
2003-06-09,64614735270.6,0.0,inf
2003-06-10,64894872525.399994,0.0,inf
2003-06-11,68084127426.2,0.0,inf
2003-06-12,69021509778.8,0.0,inf
2003-06-13,70260578405.79999,0.0,inf
2003-06-16,73105048993.0,0.0,inf
2003-06-17,75238401933.4,0.0,inf
2003-06-18,74344117620.0,0.0,inf
2003-06-19,72620196052.0,0.0,inf
2003-06-20,73837715659.4,0.0,inf
2003-06-23,72264637228.59999,0.0,inf
2003-06-24,73977784286.8,0.0,inf
2003-06-25,72997303895.0,0.0,inf
2003-06-26,74915166639.4,0.0,inf
2003-06-27,73395960757.6,0.0,inf
2003-06-30,74311794090.6,0.0,inf
2003-07-01,75304249953.48,0.0,inf
2003-07-02,75120791620.26,0.0,inf
2003-07-03,74753874953.81999,0.0,inf
2003-07-07,75897791619.78,0.0,inf
2003-07-08,74645958287.22,0.0,inf
2003-07-09,73286208288.06,0.0,inf
2003-07-10,72390499955.28,0.0,inf
2003-07-11,72789791621.7,0.0,inf
2003-07-14,72681874955.09999,0.0,inf
2003-07-15,71041541622.78,0.0,inf
2003-07-16,71473208289.18001,0.0,inf
2003-07-17,72099124955.46,0.0,inf
2003-07-18,72498416621.88,0.0,inf
2003-07-21,71376083289.24,0.0,inf
2003-07-22,71106291622.74,0.0,inf
2003-07-23,71300541622.62,0.0,inf
2003-07-24,72109916622.12,0.0,inf
2003-07-25,72681874955.09999,0.0,inf
2003-07-28,71894083288.92,0.0,inf
2003-07-29,70016333290.08,0.0,inf
2003-07-30,71818541622.3,0.0,inf
2003-07-31,71052333289.44,0.0,inf
2003-08-01,69066666624.0,0.0,inf
2003-08-04,69735749956.92,0.0,inf
2003-08-05,68861624957.46,0.0,inf
2003-08-06,67922749958.04,0.0,inf
2003-08-07,68904791624.1,0.0,inf
2003-08-08,67911958291.38,0.0,inf
2003-08-11,68063041624.62,0.0,inf
2003-08-12,67857999958.08,0.0,inf
2003-08-13,67124166625.200005,0.0,inf
2003-08-14,66260833292.4,0.0,inf
2003-08-15,66509041625.58,0.0,inf
2003-08-18,66541416625.56,0.0,inf
2003-08-19,66098958292.5,0.0,inf
2003-08-20,66498249958.92,0.0,inf
2003-08-21,68591833290.96,0.0,inf
2003-08-22,67771666624.799995,0.0,inf
2003-08-25,68613416624.28,0.0,inf
2003-08-26,69670999956.96,0.0,inf
2003-08-27,70383249956.52,0.0,inf
2003-08-28,71084708289.42,0.0,inf
2003-08-29,71796958288.98,0.0,inf
2003-09-02,72088333288.8,0.0,inf
2003-09-03,67016249958.6,0.0,inf
2003-09-04,65872333292.64,0.0,inf
2003-09-05,65829166626.0,0.0,inf
2003-09-08,66638541625.5,0.0,inf
2003-09-09,66303999959.04,0.0,inf
2003-09-10,66940708291.98,0.0,inf
2003-09-11,65807583292.68,0.0,inf
2003-09-12,66357958292.340004,0.0,inf
2003-09-15,65721249959.4,0.0,inf
2003-09-16,65829166626.0,0.0,inf
2003-09-17,65548583292.840004,0.0,inf
2003-09-18,65872333292.64,0.0,inf
2003-09-19,64976624959.86,0.0,inf
2003-09-22,63940624960.5,0.0,inf
2003-09-23,64566541626.78,0.0,inf
2003-09-24,63940624960.5,0.0,inf
2003-09-25,63368666627.52,0.0,inf
2003-09-26,62580874961.340004,0.0,inf
2003-09-29,62807499961.200005,0.0,inf
2003-09-30,64102499960.4,0.0,inf
2003-10-01,67775462178.52,0.0,inf
2003-10-02,68313277304.52,0.0,inf
2003-10-03,68194957976.799995,0.0,inf
2003-10-06,68227226884.36,0.0,inf
2003-10-07,67764705876.0,0.0,inf
2003-10-08,66990252094.56,0.0,inf
2003-10-09,66871932766.840004,0.0,inf
2003-10-10,67022521002.12,0.0,inf
2003-10-13,66732100834.08,0.0,inf
2003-10-14,67097815119.76,0.0,inf
2003-10-15,66323361338.32,0.0,inf
2003-10-16,66603025203.840004,0.0,inf
2003-10-17,65785546212.32,0.0,inf
2003-10-20,66205042010.6,0.0,inf
2003-10-21,67226890750.0,0.0,inf
2003-10-22,65376806716.56,0.0,inf
2003-10-23,70023529405.2,0.0,inf
2003-10-24,71303529405.08,0.0,inf
2003-10-27,71690756295.8,0.0,inf
2003-10-28,72443697472.2,0.0,inf
2003-10-29,71131428564.76,0.0,inf
2003-10-30,71679999993.28,0.0,inf
2003-10-31,71658487388.24,0.0,inf
2003-11-03,71798319321.0,0.0,inf
2003-11-04,70184873943.0,0.0,inf
2003-11-05,71034621842.08,0.0,inf
2003-11-06,71400336127.76,0.0,inf
2003-11-07,70830252094.2,0.0,inf
