date,MHK,MHK_SHE,PB Ratio
2003-09-02,4856318090.0,1897494000.0,2.559332514358412
2003-09-03,4865673870.0,1897494000.0,2.564263112294426
2003-09-04,4822904590.0,1897494000.0,2.5417232360155024
2003-09-05,4788154550.0,1897494000.0,2.523409586538877
2003-09-08,4868346950.0,1897494000.0,2.565671854561859
2003-09-09,4856318090.0,1897494000.0,2.559332514358412
2003-09-10,4660514980.0,1897494000.0,2.456142143268964
2003-09-11,4695265020.0,1897494000.0,2.47445579274559
2003-09-12,4774789150.0,1897494000.0,2.5163658752017133
2003-09-15,4828919020.0,1897494000.0,2.544892906117226
2003-09-16,4891736400.0,1897494000.0,2.5779983494018954
2003-09-17,4890399860.0,1897494000.0,2.577293978268179
2003-09-18,4999996140.0,1897494000.0,2.635052411232921
2003-09-19,4978611500.0,1897494000.0,2.623782473093459
2003-09-22,4988635550.0,1897494000.0,2.629065256596332
2003-09-23,5037419260.0,1897494000.0,2.6547748029769793
2003-09-24,4982621120.0,1897494000.0,2.6258955864946083
2003-09-25,4938515300.0,1897494000.0,2.602651339081968
2003-09-26,4861664250.0,1897494000.0,2.562149998893277
2003-09-29,4814885350.0,1897494000.0,2.5374970092132045
2003-09-30,4766101640.0,1897494000.0,2.511787462832557
2003-10-01,4902428720.0,1897494000.0,2.5836333184716263
2003-10-02,4903096990.0,1897494000.0,2.5839855040384845
2003-10-03,4993313440.0,1897494000.0,2.631530555564339
2003-10-06,5015366350.0,1897494000.0,2.643152679270659
2003-10-07,4991976900.0,1897494000.0,2.6308261844306227
2003-10-08,4939851840.0,1897494000.0,2.6033557102156846
2003-10-09,4967919180.0,1897494000.0,2.618147504023728
2003-10-10,4945866270.0,1897494000.0,2.606525380317408
2003-10-13,5008683650.0,1897494000.0,2.639630823602077
2003-10-14,5028731750.0,1897494000.0,2.6501963906078227
2003-10-15,5021380780.0,1897494000.0,2.6463223493723826
2003-10-16,5007347110.0,1897494000.0,2.638926452468361
2003-10-17,4709298690.0,1897494000.0,2.4818516896496114
