date,close price,JNJ_SHE,JNJ_TA,JNJ_TL,market cap,PB Ratio
2012-06-29,67.56,61366000000.0,116194000000.0,54828000000.0,188654544000.0,3.0742519310367302
2012-07-02,68.0,61366000000.0,116194000000.0,54828000000.0,190740000000.0,3.1082358309161426
2012-07-03,68.04,61366000000.0,116194000000.0,54828000000.0,190852200000.00003,3.110064204934329
2012-07-05,67.78,61366000000.0,116194000000.0,54828000000.0,190122900000.0,3.0981797738161196
2012-07-06,67.64,61366000000.0,116194000000.0,54828000000.0,189730200000.0,3.091780464752469
2012-07-09,67.78,61366000000.0,116194000000.0,54828000000.0,190122900000.0,3.0981797738161196
2012-07-10,67.88,61366000000.0,116194000000.0,54828000000.0,190403400000.0,3.1027507088615844
2012-07-11,67.9,61366000000.0,116194000000.0,54828000000.0,190459500000.00003,3.1036648958706783
2012-07-12,67.71,61366000000.0,116194000000.0,54828000000.0,189926549999.99997,3.0949801192842936
2012-07-13,68.61,61366000000.0,116194000000.0,54828000000.0,192451050000.0,3.1361185346934786
2012-07-16,68.45,61366000000.0,116194000000.0,54828000000.0,192002250000.0,3.1288050386207344
2012-07-17,69.0,61366000000.0,116194000000.0,54828000000.0,193545000000.0,3.1539451813707915
2012-07-18,69.37,61366000000.0,116194000000.0,54828000000.0,194582850000.0,3.170857641039012
2012-07-19,69.53,61366000000.0,116194000000.0,54828000000.0,195031650000.0,3.1781711371117556
2012-07-20,68.63,61366000000.0,116194000000.0,54828000000.0,192507150000.0,3.1370327217025715
2012-07-23,68.11,61366000000.0,116194000000.0,54828000000.0,191048550000.0,3.1132638594661537
2012-07-24,67.35,61366000000.0,116194000000.0,54828000000.0,188916749999.99997,3.07852475312062
2012-07-25,67.53,61366000000.0,116194000000.0,54828000000.0,189421650000.0,3.0867524362024574
2012-07-26,68.74,61366000000.0,116194000000.0,54828000000.0,192815700000.0,3.142060750252583
2012-07-27,69.52,61366000000.0,116194000000.0,54828000000.0,195003600000.0,3.1777140436072093
2012-07-30,69.45,61366000000.0,116194000000.0,54828000000.0,194807250000.0,3.1745143890753837
2012-07-31,69.22,61366000000.0,116194000000.0,54828000000.0,194162100000.0,3.1640012384708145
2012-08-01,69.38,61366000000.0,116194000000.0,54828000000.0,194610900000.0,3.171314734543558
2012-08-02,68.45,60434000000.0,115750000000.0,55316000000.0,192002250000.0,3.1770567892246087
2012-08-03,69.12,60434000000.0,115750000000.0,55316000000.0,193881600000.0,3.2081543502002186
2012-08-06,68.84,60434000000.0,115750000000.0,55316000000.0,193096200000.0,3.1951583545686204
2012-08-07,68.29,60434000000.0,115750000000.0,55316000000.0,191553450000.00003,3.1696305060065533
2012-08-08,68.35,60434000000.0,115750000000.0,55316000000.0,191721749999.99997,3.1724153622133233
2012-08-09,68.32,60434000000.0,115750000000.0,55316000000.0,191637599999.99997,3.1710229341099376
2012-08-10,68.64,60434000000.0,115750000000.0,55316000000.0,192535200000.0,3.18587550054605
2012-08-13,68.46,60434000000.0,115750000000.0,55316000000.0,192030299999.99997,3.1775209319257365
2012-08-14,68.64,60434000000.0,115750000000.0,55316000000.0,192535200000.0,3.18587550054605
2012-08-15,68.35,60434000000.0,115750000000.0,55316000000.0,191721749999.99997,3.1724153622133233
2012-08-16,68.2,60434000000.0,115750000000.0,55316000000.0,191301000000.0,3.165453221696396
2012-08-17,67.8,60434000000.0,115750000000.0,55316000000.0,190179000000.0,3.1468875136512557
2012-08-20,67.7,60434000000.0,115750000000.0,55316000000.0,189898500000.0,3.142246086639971
2012-08-21,67.78,60434000000.0,115750000000.0,55316000000.0,190122900000.0,3.1459592282489988
2012-08-22,67.75,60434000000.0,115750000000.0,55316000000.0,190038750000.0,3.1445668001456135
2012-08-23,67.74,60434000000.0,115750000000.0,55316000000.0,190010700000.0,3.144102657444485
2012-08-24,67.6,60434000000.0,115750000000.0,55316000000.0,189617999999.99997,3.1376046596286855
