COP,dcf,Deviation
10.62,,
10.62,,
10.72,,
10.58,,
10.53,,
10.48,,
10.53,,
10.48,,
10.67,,
10.48,,
10.15,,
10.1,,
10.39,,
9.96,,
10.24,,
10.34,,
10.29,,
10.05,,
9.86,,
10.1,,
9.77,,
9.77,,
9.96,,
10.15,,
10.1,,
10.05,,
10.39,,
10.53,,
10.34,,
10.2,,
10.01,,
8.86,,
9.48,,
9.24,,
9.1,,
9.39,,
9.24,,
8.81,,
9.0,,
8.77,,
8.62,,
8.62,,
8.77,,
8.96,,
8.91,,
8.67,,
8.62,,
8.58,,
8.67,,
8.72,,
8.72,,
8.58,,
8.77,,
8.62,,
8.72,,
8.67,,
8.62,,
8.48,,
8.43,,
8.43,,
8.39,,
8.62,,
8.91,,
8.96,,
8.96,,
9.1,,
9.24,,
9.1,,
9.15,,
9.05,,
9.1,,
9.34,,
9.86,,
9.86,,
9.72,,
9.72,,
9.62,,
9.48,,
9.39,,
9.34,,
9.48,,
9.67,,
9.48,,
9.53,,
9.62,,
9.77,,
9.58,,
9.39,,
9.29,,
9.48,,
9.29,,
9.15,,
9.24,,
8.96,,
9.1,,
9.1,,
9.0,,
9.0,,
9.15,,
8.96,,
8.81,,
8.86,,
8.96,,
8.81,,
9.05,,
9.24,,
9.48,,
9.77,,
9.77,,
9.77,,
9.86,,
9.96,,
10.1,,
10.15,,
10.15,,
10.2,,
10.05,,
10.15,,
10.1,,
9.96,,
9.86,,
9.91,,
9.72,,
9.77,,
9.72,,
9.72,,
9.72,,
9.91,,
9.86,,
10.01,,
10.05,,
10.05,,
9.77,,
9.81,,
9.72,,
9.81,,
9.81,,
9.77,,
9.62,,
9.67,,
9.72,,
9.43,,
9.62,,
9.67,,
9.81,,
9.81,,
9.81,,
9.91,,
10.05,,
10.15,,
9.86,,
9.86,,
9.81,,
9.86,,
9.86,,
9.67,,
9.81,,
9.67,,
9.67,,
9.62,,
9.43,,
9.39,,
9.29,,
9.39,,
9.43,,
9.53,,
9.48,,
9.48,,
9.62,,
9.67,,
9.67,,
9.77,,
9.86,,
9.96,,
9.96,,
10.15,,
10.34,,
10.39,,
10.53,,
10.39,,
10.34,,
10.34,,
10.29,,
10.34,,
10.24,,
10.1,,
10.05,,
10.29,,
10.05,,
10.24,,
10.1,,
10.2,,
10.2,,
10.01,,
10.2,,
9.96,,
10.15,,
10.1,,
10.1,,
10.05,,
9.86,,
9.77,,
9.72,,
9.86,,
9.67,,
9.53,,
9.48,,
9.72,,
10.01,,
9.96,,
9.81,,
9.91,,
10.05,,
9.91,,
9.96,,
9.81,,
9.91,,
10.34,,
10.62,,
10.72,,
10.86,,
10.77,,
10.48,,
10.96,,
10.82,,
10.72,,
10.96,,
10.86,,
10.67,,
10.62,,
10.77,,
11.01,,
10.96,,
11.29,,
11.1,,
11.82,,
11.63,,
11.1,,
10.91,,
11.24,,
11.01,,
11.01,,
10.86,,
11.1,,
11.2,,
11.29,,
10.86,,
10.96,,
10.48,,
10.48,,
10.43,,
10.62,,
10.58,,
10.58,,
10.82,,
10.72,,
10.96,,
11.05,,
11.01,,
10.82,,
10.58,,
10.77,,
10.86,,
10.96,,
11.15,,
11.2,,
11.15,,
11.01,,
11.01,,
11.01,,
10.67,,
10.39,,
9.91,,
9.81,,
9.86,,
10.01,,
10.2,,
10.34,,
10.1,,
10.1,,
10.2,,
9.96,,
9.58,,
9.43,,
9.62,,
9.58,,
9.72,,
9.48,,
9.91,,
9.72,,
9.81,,
9.86,,
9.91,,
9.86,,
9.77,,
9.67,,
9.67,,
9.81,,
10.1,,
10.15,,
9.91,,
9.72,,
9.91,,
10.1,,
9.96,,
9.86,,
9.91,,
9.81,,
9.96,,
10.01,,
10.01,,
10.1,,
9.96,,
10.1,,
10.1,,
10.05,,
10.01,,
10.43,,
10.15,,
10.1,,
10.15,,
9.91,,
9.77,,
9.67,,
9.58,,
9.43,,
9.81,,
9.62,,
9.67,,
9.96,,
9.96,,
9.96,,
10.05,,
10.01,,
10.24,,
10.1,,
9.96,,
9.96,,
9.77,,
9.53,,
9.48,,
9.48,,
9.67,,
9.53,,
9.53,,
9.34,,
9.62,,
9.62,,
9.48,,
9.43,,
9.48,,
9.34,,
9.58,,
9.91,,
9.91,,
10.01,,
9.81,,
9.81,,
9.72,,
9.72,,
9.91,,
9.77,,
9.86,,
10.39,,
10.24,,
10.43,,
10.62,,
10.82,,
10.86,,
10.77,,
10.58,,
10.39,,
10.43,,
10.2,,
9.91,,
9.77,,
10.1,,
10.43,,
10.43,,
10.67,,
10.53,,
10.86,,
11.01,,
10.82,,
10.77,,
