date,DLTR,dcf,Deviation
1998-02-23,6.33,,
1998-02-24,6.35,,
1998-02-25,6.31,,
1998-02-26,6.41,,
1998-02-27,6.43,,
1998-03-02,6.3,,
1998-03-03,6.26,,
1998-03-04,6.35,,
1998-03-05,6.24,,
1998-03-06,6.24,,
1998-03-09,6.15,,
1998-03-10,6.26,,
1998-03-11,6.24,,
1998-03-12,6.49,,
1998-03-13,6.67,,
1998-03-16,6.94,,
1998-03-17,7.31,,
1998-03-18,7.44,,
1998-03-19,7.56,,
1998-03-20,7.59,,
1998-03-23,7.67,,
1998-03-24,7.5,,
1998-03-25,7.3,,
1998-03-26,7.54,,
1998-03-27,7.44,,
1998-03-30,7.8,,
1998-03-31,7.87,,
1998-04-01,7.76,,
1998-04-02,7.87,,
1998-04-03,8.46,,
1998-04-06,8.28,,
1998-04-07,7.93,,
1998-04-08,7.81,,
1998-04-09,7.7,,
1998-04-13,7.6,,
1998-04-14,7.85,,
1998-04-15,7.69,,
1998-04-16,7.59,,
1998-04-17,7.72,,
1998-04-20,7.67,,
1998-04-21,7.81,,
1998-04-22,7.85,,
1998-04-23,7.43,,
1998-04-24,7.94,,
1998-04-27,8.15,,
1998-04-28,8.09,,
1998-04-29,7.81,,
1998-04-30,8.04,,
1998-05-01,8.15,,
1998-05-04,8.31,,
1998-05-05,8.04,,
1998-05-06,7.89,,
1998-05-07,8.0,,
1998-05-08,7.89,,
1998-05-11,7.85,,
1998-05-12,7.87,,
1998-05-13,7.92,,
1998-05-14,7.74,,
1998-05-15,7.83,,
1998-05-18,7.74,,
1998-05-19,7.93,,
1998-05-20,7.91,,
1998-05-21,7.91,,
1998-05-22,7.87,,
1998-05-26,7.85,,
1998-05-27,7.66,,
1998-05-28,7.78,,
1998-05-29,7.67,,
1998-06-01,7.52,,
1998-06-02,7.57,,
1998-06-03,7.44,,
1998-06-04,7.65,,
1998-06-05,8.22,,
1998-06-08,8.85,,
1998-06-09,8.41,,
1998-06-10,8.13,,
1998-06-11,8.43,,
1998-06-12,8.71,,
1998-06-15,8.31,,
1998-06-16,8.52,,
1998-06-17,8.74,,
1998-06-18,8.46,,
1998-06-19,8.54,,
1998-06-22,9.04,,
1998-06-23,9.2,,
1998-06-24,8.72,,
1998-06-25,8.94,,
1998-06-26,8.89,,
1998-06-29,9.15,,
1998-06-30,9.03,,
1998-07-01,8.88,,
1998-07-02,8.83,,
1998-07-06,9.0,,
1998-07-07,8.92,,
1998-07-08,9.11,,
1998-07-09,9.33,,
1998-07-10,9.19,,
1998-07-13,9.33,,
1998-07-14,9.31,,
1998-07-15,9.42,,
1998-07-16,9.61,,
1998-07-17,9.61,,
1998-07-20,9.94,,
1998-07-21,9.92,,
1998-07-22,10.36,,
1998-07-23,10.22,,
1998-07-24,10.67,,
1998-07-27,10.35,,
1998-07-28,10.69,,
1998-07-29,10.64,,
1998-07-30,10.78,,
1998-07-31,10.08,,
1998-08-03,10.22,,
1998-08-04,9.42,,
1998-08-05,9.32,,
1998-08-06,9.5,,
1998-08-07,9.5,,
1998-08-10,9.11,,
1998-08-11,9.15,,
1998-08-12,9.57,,
1998-08-13,9.81,,
1998-08-14,9.81,,
1998-08-17,10.19,,
1998-08-18,10.07,,
1998-08-19,9.89,,
1998-08-20,9.14,,
1998-08-21,8.44,,
1998-08-24,8.36,,
1998-08-25,8.44,,
1998-08-26,8.01,,
1998-08-27,7.35,,
1998-08-28,6.93,,
1998-08-31,6.44,,
1998-09-01,6.81,,
1998-09-02,6.85,,
1998-09-03,6.78,,
1998-09-04,6.89,,
1998-09-08,7.56,,
1998-09-09,7.75,,
1998-09-10,7.28,,
1998-09-11,7.78,,
1998-09-14,7.78,,
1998-09-15,7.61,,
1998-09-16,7.61,,
1998-09-17,7.06,,
1998-09-18,7.33,,
1998-09-21,6.9,,
1998-09-22,7.04,,
1998-09-23,7.04,,
1998-09-24,6.56,,
1998-09-25,6.64,,
1998-09-28,6.43,,
1998-09-29,6.9,,
1998-09-30,6.96,,
1998-10-01,6.89,,
1998-10-02,7.33,,
1998-10-05,7.25,,
1998-10-06,6.89,,
1998-10-07,6.15,,
1998-10-08,6.39,,
1998-10-09,6.43,,
1998-10-12,6.44,,
1998-10-13,6.08,,
1998-10-14,6.25,,
1998-10-15,6.39,,
1998-10-16,7.28,,
1998-10-19,7.61,,
1998-10-20,7.51,,
1998-10-21,7.47,,
1998-10-22,7.75,,
1998-10-23,7.75,,
1998-10-26,7.97,,
1998-10-27,8.21,,
1998-10-28,8.56,,
1998-10-29,8.83,,
1998-10-30,8.57,,
1998-11-02,9.22,,
1998-11-03,8.96,,
1998-11-04,9.56,,
1998-11-05,9.22,,
1998-11-06,9.56,,
1998-11-09,9.47,,
1998-11-10,9.14,,
1998-11-11,9.44,,
1998-11-12,9.0,,
1998-11-13,8.86,,
1998-11-16,8.69,,
1998-11-17,8.61,,
1998-11-18,8.81,,
1998-11-19,9.0,,
1998-11-20,9.06,,
1998-11-23,9.89,,
1998-11-24,9.22,,
1998-11-25,9.67,,
1998-11-27,9.78,,
1998-11-30,10.08,,
1998-12-01,10.42,,
1998-12-02,10.43,,
1998-12-03,10.06,,
1998-12-04,9.5,,
1998-12-07,9.5,,
1998-12-08,9.17,,
1998-12-09,9.13,,
1998-12-10,8.86,,
1998-12-11,8.65,,
1998-12-14,8.6,,
1998-12-15,9.35,,
1998-12-16,9.22,,
1998-12-17,9.28,,
1998-12-18,9.42,,
1998-12-21,9.35,,
1998-12-22,8.94,,
1998-12-23,9.61,,
1998-12-24,9.69,,
1998-12-28,9.56,,
1998-12-29,9.42,,
1998-12-30,9.32,,
1998-12-31,9.71,,
1999-01-04,8.9,,
1999-01-05,9.6,,
1999-01-06,10.78,,
1999-01-07,10.64,,
1999-01-08,10.08,,
1999-01-11,9.83,,
1999-01-12,9.89,,
1999-01-13,9.44,,
1999-01-14,8.89,,
1999-01-15,9.33,,
1999-01-19,9.51,,
1999-01-20,9.94,,
1999-01-21,9.54,,
1999-01-22,10.28,,
1999-01-25,10.39,,
1999-01-26,10.25,,
1999-01-27,10.44,,
1999-01-28,10.22,,
1999-01-29,9.6,,
1999-02-01,9.58,,
1999-02-02,9.51,,
1999-02-03,9.36,,
1999-02-04,9.11,,
1999-02-05,8.67,,
1999-02-08,8.58,,
1999-02-09,7.89,,
1999-02-10,8.28,,
1999-02-11,8.71,,
1999-02-12,8.65,,
1999-02-16,8.68,,
1999-02-17,8.67,,
1999-02-18,9.28,,
1999-02-19,9.64,,
1999-02-22,9.67,,
1999-02-23,9.36,,
1999-02-24,9.22,,
1999-02-25,9.0,,
1999-02-26,8.89,,
1999-03-01,8.82,,
1999-03-02,8.64,,
1999-03-03,8.74,,
1999-03-04,8.99,,
1999-03-05,9.0,,
1999-03-08,8.76,,
1999-03-09,8.72,,
1999-03-10,8.71,,
1999-03-11,8.89,,
1999-03-12,8.36,,
1999-03-15,8.28,,
1999-03-16,8.22,,
1999-03-17,8.01,,
1999-03-18,7.6,,
1999-03-19,8.19,,
1999-03-22,7.79,,
1999-03-23,7.53,,
1999-03-24,7.75,,
1999-03-25,7.79,,
1999-03-26,7.54,,
1999-03-29,7.15,,
1999-03-30,7.06,,
1999-03-31,6.88,,
1999-04-01,6.5,,
1999-04-05,7.69,,
1999-04-06,7.72,,
1999-04-07,7.75,,
1999-04-08,7.47,,
1999-04-09,7.97,,
1999-04-12,8.17,,
1999-04-13,8.01,,
1999-04-14,7.9,,
1999-04-15,7.79,,
1999-04-16,6.97,,
1999-04-19,6.88,,
1999-04-20,7.47,,
1999-04-21,7.92,,
1999-04-22,8.65,,
1999-04-23,8.61,,
1999-04-26,8.44,,
1999-04-27,8.44,,
1999-04-28,8.67,,
1999-04-29,8.28,,
1999-04-30,8.11,,
1999-05-03,7.92,,
1999-05-04,8.44,,
1999-05-05,8.42,,
1999-05-06,8.04,,
1999-05-07,8.44,,
1999-05-10,7.99,,
1999-05-11,7.76,,
1999-05-12,7.33,,
1999-05-13,7.76,,
1999-05-14,7.97,,
1999-05-17,8.08,,
1999-05-18,8.13,,
1999-05-19,8.14,,
1999-05-20,8.21,,
1999-05-21,7.92,,
1999-05-24,7.61,,
1999-05-25,7.57,,
1999-05-26,7.78,,
1999-05-27,7.56,,
1999-05-28,7.47,,
1999-06-01,7.36,,
