date,LDOS,dcf,Deviation
2011-08-22,33.88,38.955043731778424,-0.13027950287316314
2011-08-23,35.06,39.49504373177842,-0.11229367821182856
2011-08-24,35.6,39.275043731778425,-0.09357198318801241
2011-08-25,35.38,39.54504373177843,-0.10532403908890842
2011-08-26,35.65,40.48504373177843,-0.11942789944384335
2011-08-29,36.59,40.51504373177843,-0.09687867444407494
2011-08-30,36.62,40.93504373177843,-0.10541197317516493
2011-08-31,37.04,35.91504373177843,0.03132270356185529
2011-09-01,32.02,35.845043731778425,-0.10671053327206093
2011-09-02,31.95,35.91504373177843,-0.11040063772134778
2011-09-06,32.02,36.51504373177843,-0.12310114605905464
2011-09-07,32.62,36.04504373177843,-0.09502121171679434
2011-09-08,32.15,35.40504373177843,-0.09193728883483365
2011-09-09,31.51,35.25504373177843,-0.1062271758977481
2011-09-12,31.36,35.49504373177842,-0.11649636955021847
2011-09-13,31.6,35.64504373177842,-0.1134812391371024
2011-09-14,31.75,35.94504373177842,-0.11670715337229232
2011-09-15,32.05,35.99504373177842,-0.10959963713825194
2011-09-16,32.1,35.775043731778425,-0.10272646371397554
2011-09-19,31.88,35.82504373177843,-0.1101197185219065
2011-09-20,31.93,34.83504373177843,-0.08339428978894281
2011-09-21,30.94,33.49504373177842,-0.07628124782396761
2011-09-22,29.6,33.67504373177842,-0.12101079256900538
2011-09-23,29.78,33.99504373177842,-0.12398994880063108
2011-09-26,30.1,34.195043731778426,-0.11975547579056856
2011-09-27,30.3,33.40504373177843,-0.09295134461460319
2011-09-28,29.51,33.99504373177842,-0.13193228304589066
2011-09-29,30.1,33.055043731778426,-0.08939766517197212
2011-09-30,29.16,31.845043731778425,-0.0843159065628476
2011-10-03,27.95,32.565043731778424,-0.14171771945986544
2011-10-04,28.67,33.305043731778426,-0.1391694233794336
2011-10-05,29.41,34.01504373177843,-0.13538256096599344
2011-10-06,30.12,33.74504373177842,-0.10742447870543559
2011-10-07,29.85,34.58504373177843,-0.13691015597668987
2011-10-10,30.69,34.58504373177843,-0.11262220056698868
2011-10-11,30.69,35.32504373177843,-0.13121126662919713
2011-10-12,31.43,35.055043731778426,-0.10341004733912851
2011-10-13,31.16,35.32504373177843,-0.11790625833058921
2011-10-14,31.43,34.46504373177842,-0.08806150821680137
2011-10-17,30.57,35.15504373177843,-0.13042349674660692
2011-10-18,31.26,34.58504373177843,-0.09614108796754861
2011-10-19,30.69,34.85504373177842,-0.11949615567347638
2011-10-20,30.96,35.205043731778424,-0.12058055556245661
2011-10-21,31.31,35.47504373177843,-0.11740771239831893
2011-10-24,31.58,34.85504373177842,-0.09396183109053069
2011-10-25,30.96,34.705043731778424,-0.10791064724546628
2011-10-26,30.81,35.40504373177843,-0.12978500370143775
2011-10-27,31.51,35.595043731778425,-0.11476439704810337
2011-10-28,31.7,34.58504373177843,-0.08341882561008618
2011-10-31,30.69,34.385634218289084,-0.1074761103671441
2011-11-01,30.07,34.26563421828909,-0.12244437653074847
2011-11-02,29.95,35.64563421828908,-0.15978490334636164
2011-11-03,31.33,35.69563421828909,-0.12230162914579346
2011-11-04,31.38,35.775634218289085,-0.12286670283659051
2011-11-07,31.46,36.46563421828908,-0.1372699070122998
2011-11-08,32.15,34.68563421828909,-0.07310329695376006
2011-11-09,30.37,34.71563421828908,-0.12517801607667856
2011-11-10,30.4,35.32563421828909,-0.13943512486858478
2011-11-11,31.01,34.43563421828909,-0.09947934156152993
2011-11-14,30.12,35.10563421828908,-0.14201806431663044
2011-11-15,30.79,34.61563421828909,-0.11051752494737843
2011-11-16,30.3,33.915634218289085,-0.10660671108250563
2011-11-17,29.6,33.69563421828909,-0.12154791899023176
2011-11-18,29.38,32.93563421828909,-0.10795705935775346
2011-11-21,28.62,32.75563421828909,-0.12625718649587192
2011-11-22,28.44,32.11563421828909,-0.11444999632596076
2011-11-23,27.8,32.485634218289086,-0.14423711683766727
2011-11-25,28.17,32.85563421828908,-0.14261280689814915
2011-11-28,28.54,32.385634218289084,-0.11874506431982568
2011-11-29,28.07,34.065634218289084,-0.17600242460978932
2011-11-30,29.75,34.315634218289084,-0.13304822487750356
2011-12-01,30.0,34.33563421828909,-0.12627214603712444
2011-12-02,30.02,34.61563421828909,-0.13276180899383883
2011-12-05,30.3,34.315634218289084,-0.11702054500128933
2011-12-06,30.0,36.29563421828909,-0.17345431079743379
2011-12-07,31.98,34.93563421828909,-0.08460227742886628
2011-12-08,30.62,35.08563421828909,-0.1272781386964721
2011-12-09,30.77,34.735634218289086,-0.11416616703664761
2011-12-12,30.42,34.19563421828909,-0.11041275603157952
2011-12-13,29.88,34.33563421828909,-0.129767057452976
2011-12-14,30.02,34.315634218289084,-0.12518009112008932
2011-12-15,30.0,34.36563421828909,-0.12703487997802576
2011-12-16,30.05,33.82563421828909,-0.1116205004146722
2011-12-19,29.51,34.53563421828908,-0.14552025269099156
2011-12-20,30.22,34.85563421828908,-0.13299526238018422
2011-12-21,30.54,34.885634218289084,-0.12456801533540274
2011-12-22,30.57,35.00563421828909,-0.12671200843353503
2011-12-23,30.69,34.78563421828908,-0.11773924237194844
2011-12-27,30.47,34.315634218289084,-0.11206653485773233
2011-12-28,30.0,34.71563421828908,-0.13583603827133206
2011-12-29,30.4,34.665634218289085,-0.12305080563154969
2011-12-30,30.35,35.42563421828908,-0.14327574735891957
2012-01-03,31.11,35.35563421828908,-0.12008366734637343
2012-01-04,31.04,35.305634218289086,-0.1208202122050932
2012-01-05,30.99,34.985634218289086,-0.1142078543827092
2012-01-06,30.67,35.305634218289086,-0.1313001259126999
2012-01-09,30.99,36.315634218289084,-0.14664852570871578
2012-01-10,32.0,36.515634218289094,-0.12366303680486013
2012-01-11,32.2,36.68563421828909,-0.12227222764089052
2012-01-12,32.37,36.46563421828908,-0.11231490432257307
2012-01-13,32.15,36.515634218289094,-0.11955520728988289
2012-01-17,32.2,36.835634218289094,-0.12584646135907918
2012-01-18,32.52,37.055634218289086,-0.1224006635959961
2012-01-19,32.74,36.415634218289085,-0.10093560903693022
2012-01-20,32.1,36.415634218289085,-0.11851047801116243
2012-01-23,32.1,36.11563421828909,-0.11118825143753275
2012-01-24,31.8,36.385634218289084,-0.12602870107412156
2012-01-25,32.07,36.165634218289085,-0.1132465752865992
2012-01-26,31.85,35.69563421828909,-0.1077340213307858
2012-01-27,31.38,35.54563421828909,-0.11719116313152655
2012-01-30,31.23,36.065634218289084,-0.13407872405684484
2012-01-31,31.75,37.158095238095235,-0.14554285421365587
2012-02-01,32.42,36.368095238095236,-0.1085593076087098
2012-02-02,31.63,36.588095238095235,-0.13551116027851884
2012-02-03,31.85,36.06809523809524,-0.11694810081459672
2012-02-06,31.33,35.96809523809524,-0.12895026015119226
2012-02-07,31.23,36.298095238095236,-0.1396242751816965
2012-02-08,31.56,36.368095238095236,-0.13220640802377803
2012-02-09,31.63,35.92809523809524,-0.11963047886651912
2012-02-10,31.19,35.99809523809524,-0.13356526800359803
2012-02-13,31.26,35.87809523809524,-0.12871628795922707
2012-02-14,31.14,36.16809523809524,-0.13902018353455425
2012-02-15,31.43,36.66809523809524,-0.1428515772112775
2012-02-16,31.93,36.758095238095244,-0.13134780806301183
2012-02-17,32.02,36.71809523809524,-0.12795040722104056
2012-02-21,31.98,36.41809523809524,-0.12186511153534352
2012-02-22,31.68,36.24809523809524,-0.1260230422616624
2012-02-23,31.51,35.84809523809524,-0.12101327028068176
2012-02-24,31.11,35.50809523809524,-0.12386176190540055
2012-02-27,30.77,35.10809523809524,-0.12356395892956451
2012-02-28,30.37,34.908095238095235,-0.13000122771358802
2012-02-29,30.17,34.75809523809524,-0.1320007672073651
2012-03-01,30.02,34.78809523809524,-0.1370611183355006
2012-03-02,30.05,35.158095238095235,-0.14528930545021124
2012-03-05,30.42,34.56809523809524,-0.11999779593073712
2012-03-06,29.83,35.05809523809524,-0.14912661976039787
2012-03-07,30.32,35.74809523809524,-0.151842922033808
2012-03-08,31.01,35.89809523809524,-0.1361658663412304
2012-03-09,31.16,35.84809523809524,-0.1307766900014612
2012-03-12,31.11,36.21809523809524,-0.1410371032632991
2012-03-13,31.48,36.43809523809524,-0.13606900156821744
2012-03-14,31.7,37.228095238095236,-0.1484925619411862
2012-03-15,32.49,37.228095238095236,-0.12727202957315897
2012-03-16,32.49,37.578095238095244,-0.1354005626378083
2012-03-19,32.84,37.20809523809524,-0.11739636791788777
2012-03-20,32.47,38.338095238095235,-0.15306173146193014
2012-03-21,33.6,37.35809523809524,-0.10059654310916222
2012-03-22,32.62,37.62809523809524,-0.13309457219149834
2012-03-23,32.89,37.96809523809523,-0.13374637853837168
