date,FDX,dcf,Deviation
2008-09-30,79.04,85.77851564035171,-0.07855714907220646
2008-10-01,80.74,82.53851564035173,-0.021790016774574372
2008-10-02,77.5,83.03851564035173,-0.06669815323216532
2008-10-03,78.0,82.37851564035172,-0.053151183974562644
2008-10-06,77.34,79.69851564035173,-0.0295929682178121
2008-10-07,74.66,76.00851564035172,-0.01774163893335945
2008-10-08,70.97,71.83851564035173,-0.012089832767422704
2008-10-09,66.8,73.39851564035173,-0.08989985128151723
2008-10-10,68.36,78.73851564035174,-0.13180989704907486
2008-10-13,73.7,75.78851564035173,-0.027557151933976565
2008-10-14,70.75,70.29851564035174,0.006422388233032761
2008-10-15,65.26,71.27851564035171,-0.0844366017766025
2008-10-16,66.24,67.58851564035173,-0.0199518457769865
2008-10-17,62.55,69.19851564035173,-0.09607887653120095
2008-10-20,64.16,67.47851564035172,-0.04917884765039604
2008-10-21,62.44,63.038515640351726,-0.00949444374240005
2008-10-22,58.0,65.03851564035173,-0.10822072999441024
2008-10-23,60.0,61.848515640351735,-0.02988779312184031
2008-10-24,56.81,59.97851564035172,-0.05282751009296471
2008-10-27,54.94,63.19851564035173,-0.1306757849717397
2008-10-28,58.16,63.11851564035173,-0.07855881257736286
2008-10-29,58.08,66.04851564035172,-0.12064640004541505
2008-10-30,61.01,70.40851564035172,-0.13348549610617488
2008-10-31,65.37,71.03851564035173,-0.079794961778901
2008-11-03,66.0,73.85851564035173,-0.10639958808024463
2008-11-04,68.82,68.95851564035172,-0.002008680712823674
2008-11-05,63.92,67.57851564035172,-0.054137259537070825
2008-11-06,62.54,69.61851564035173,-0.10167576219118557
2008-11-07,64.58,71.32851564035172,-0.0946117493090517
2008-11-10,66.29,71.53851564035173,-0.07336629217661972
2008-11-11,66.5,68.13851564035174,-0.024046834964825847
2008-11-12,63.1,72.17851564035172,-0.12577864146705076
2008-11-13,67.14,69.40851564035172,-0.0326835348576866
2008-11-14,64.37,67.79851564035172,-0.05056918441310487
2008-11-17,62.76,69.82851564035172,-0.1012267778504381
2008-11-18,64.79,65.61851564035173,-0.012626247824512382
2008-11-19,60.58,61.788515640351726,-0.019558903913245884
2008-11-20,56.75,65.94851564035173,-0.13948025290691246
2008-11-21,60.91,71.46851564035174,-0.14773660185535342
2008-11-24,66.43,72.15851564035172,-0.07938793626109841
2008-11-25,67.12,74.26851564035174,-0.09625230259035611
