date,AIG,dcf,Deviation
2007-10-29,1264.0,1256.310571266973,0.006120643182419672
2007-10-30,1256.2,1262.510571266973,-0.004998430437410217
2007-10-31,1262.4,1185.910571266973,0.06449847955340293
2007-11-01,1185.8,1182.510571266973,0.0027817330457371447
2007-11-02,1182.4,1190.7105712669727,-0.0069795057401143
2007-11-05,1190.6,1241.110571266973,-0.0406978817490935
2007-11-06,1241.0,1158.110571266973,0.07157298343485974
2007-11-07,1158.0,1120.110571266973,0.0338265075832378
2007-11-08,1120.0,1141.310571266973,-0.018672017769287952
2007-11-09,1141.2,1135.7105712669727,0.004833475070064264
2007-11-12,1135.6,1183.7105712669727,-0.04064386382515628
2007-11-13,1183.6,1188.7105712669727,-0.0042992561776629135
2007-11-14,1188.6,1139.110571266973,0.04344567593467463
2007-11-15,1139.0,1128.910571266973,0.008937314424918297
2007-11-16,1128.8,1107.110571266973,0.019591023061233725
2007-11-19,1107.0,1088.910571266973,0.01661240988043633
2007-11-20,1088.8,1026.7105712669727,0.06047413016933123
2007-11-21,1026.6,1060.7105712669727,-0.0321582269385976
2007-11-23,1060.6,1051.310571266973,0.008836046156971422
2007-11-26,1051.2,1089.910571266973,-0.035517199564340074
2007-11-27,1089.8,1154.510571266973,-0.05605021978790459
2007-11-28,1154.4,1146.7105712669727,0.006705640399330637
2007-11-29,1146.6,1162.7105712669727,-0.013856046091864083
2007-11-30,1162.6,1138.110571266973,0.021517618192197885
2007-12-03,1138.0,1113.110571266973,0.02236024827677019
2007-12-04,1113.0,1163.110571266973,-0.04308323946569215
2007-12-05,1163.0,1227.110571266973,-0.05224514625505983
2007-12-06,1227.0,1229.110571266973,-0.0017171532946766987
2007-12-07,1229.0,1230.310571266973,-0.001065236126211122
2007-12-10,1230.2,1185.110571266973,0.03804660073601651
2007-12-11,1185.0,1164.310571266973,0.017769682113693452
2007-12-12,1164.2,1141.110571266973,0.020234173019176405
2007-12-13,1141.0,1113.110571266973,0.0250553983161641
2007-12-14,1113.0,1100.310571266973,0.011532588220447115
2007-12-17,1100.2,1134.110571266973,-0.029900586526664386
2007-12-18,1134.0,1137.910571266973,-0.003436624428771129
2007-12-19,1137.8,1134.910571266973,0.0025459527879816424
2007-12-20,1134.8,1166.7105712669727,-0.0273508889461076
2007-12-21,1166.6,1199.7105712669727,-0.027598799293737875
2007-12-24,1199.6,1190.510571266973,0.0076348996408772685
2007-12-26,1190.4,1160.310571266973,0.025932219767826226
2007-12-27,1160.2,1158.910571266973,0.0011126214265329004
2007-12-28,1158.8,1166.110571266973,-0.00626919217362909
2007-12-31,1166.0,1126.0,0.035523978685612745
2008-01-02,1126.0,1129.0,-0.0026572187776793266
2008-01-03,1129.0,1106.0,0.020795660036166286
2008-01-04,1106.0,1126.0,-0.017761989342806372
2008-01-07,1126.0,1111.0,0.013501350135013412
2008-01-08,1111.0,1129.6,-0.016466005665722316
2008-01-09,1129.6,1156.2,-0.023006400276768812
2008-01-10,1156.2,1153.6,0.002253814147018085
2008-01-11,1153.6,1186.4,-0.02764666217127465
