date,INTU,dcf,Deviation
1996-04-12,7.67,,
1996-04-15,7.83,,
1996-04-16,7.83,,
1996-04-17,7.63,,
1996-04-18,7.92,,
1996-04-19,7.88,,
1996-04-22,8.19,,
1996-04-23,8.04,,
1996-04-24,8.04,,
1996-04-25,8.04,,
1996-04-26,8.67,,
1996-04-29,8.58,,
1996-04-30,8.67,,
1996-05-01,9.08,,
1996-05-02,8.5,,
1996-05-03,9.04,,
1996-05-06,8.96,,
1996-05-07,9.25,,
1996-05-08,8.94,,
1996-05-09,8.58,,
1996-05-10,8.67,,
1996-05-13,9.04,,
1996-05-14,9.17,,
1996-05-15,9.08,,
1996-05-16,9.17,,
1996-05-17,9.13,,
1996-05-20,8.92,,
1996-05-21,8.92,,
1996-05-22,8.83,,
1996-05-23,8.83,,
1996-05-24,8.54,,
1996-05-28,8.29,,
1996-05-29,8.04,,
1996-05-30,8.27,,
1996-05-31,8.67,,
1996-06-03,8.54,,
1996-06-04,8.54,,
1996-06-05,8.67,,
1996-06-06,8.33,,
1996-06-07,8.54,,
1996-06-10,8.67,,
1996-06-11,8.88,,
1996-06-12,8.92,,
1996-06-13,8.79,,
1996-06-14,8.9,,
1996-06-17,8.91,,
1996-06-18,8.75,,
1996-06-19,8.26,,
1996-06-20,8.21,,
1996-06-21,8.17,,
1996-06-24,8.17,,
1996-06-25,8.04,,
1996-06-26,7.56,,
1996-06-27,7.54,,
1996-06-28,7.88,,
1996-07-01,8.17,,
1996-07-02,8.13,,
1996-07-03,7.92,,
1996-07-05,7.63,,
1996-07-08,7.42,,
1996-07-09,7.21,,
1996-07-10,7.17,,
1996-07-11,6.79,,
1996-07-12,6.33,,
1996-07-15,5.71,,
1996-07-16,5.73,,
1996-07-17,6.04,,
1996-07-18,6.31,,
1996-07-19,6.0,,
1996-07-22,5.75,,
1996-07-23,5.58,,
1996-07-24,5.83,,
1996-07-25,6.21,,
1996-07-26,6.25,,
1996-07-29,6.01,,
1996-07-30,5.96,,
1996-07-31,5.83,,
1996-08-01,5.91,,
1996-08-02,6.17,,
1996-08-05,6.71,,
1996-08-06,6.75,,
1996-08-07,6.69,,
1996-08-08,6.63,,
1996-08-09,6.63,,
1996-08-12,6.5,,
1996-08-13,6.46,,
1996-08-14,6.5,,
1996-08-15,6.38,,
1996-08-16,6.21,,
1996-08-19,6.13,,
1996-08-20,6.13,,
1996-08-21,6.21,,
1996-08-22,6.58,,
1996-08-23,6.42,,
1996-08-26,6.13,,
1996-08-27,6.29,,
1996-08-28,6.42,,
1996-08-29,6.21,,
1996-08-30,6.08,,
1996-09-03,6.04,,
1996-09-04,5.42,,
1996-09-05,5.38,,
1996-09-06,5.38,,
1996-09-09,5.42,,
1996-09-10,5.02,,
1996-09-11,4.79,,
1996-09-12,4.75,,
1996-09-13,5.02,,
1996-09-16,5.38,,
1996-09-17,5.5,,
1996-09-18,5.46,,
1996-09-19,5.29,,
1996-09-20,5.13,,
1996-09-23,5.08,,
1996-09-24,5.17,,
1996-09-25,5.42,,
1996-09-26,5.65,,
1996-09-27,5.54,,
1996-09-30,5.25,,
1996-10-01,5.25,,
1996-10-02,5.19,,
1996-10-03,5.08,,
1996-10-04,5.25,,
1996-10-07,5.13,,
1996-10-08,5.0,,
1996-10-09,5.0,,
1996-10-10,5.0,,
1996-10-11,5.04,,
1996-10-14,4.96,,
1996-10-15,4.75,,
1996-10-16,4.72,,
1996-10-17,4.33,,
1996-10-18,4.71,,
1996-10-21,4.77,,
1996-10-22,4.63,,
1996-10-23,4.79,,
1996-10-24,4.67,,
1996-10-25,4.67,,
1996-10-28,4.58,,
1996-10-29,4.56,,
1996-10-30,4.54,,
1996-10-31,4.5,,
1996-11-01,4.48,,
1996-11-04,4.56,,
1996-11-05,4.92,,
1996-11-06,6.08,,
1996-11-07,5.6,,
1996-11-08,6.08,,
1996-11-11,6.15,,
1996-11-12,5.98,,
1996-11-13,5.79,,
1996-11-14,5.88,,
1996-11-15,6.0,,
1996-11-18,6.33,,
1996-11-19,6.17,,
1996-11-20,6.63,,
1996-11-21,6.33,,
1996-11-22,5.92,,
1996-11-25,6.0,,
1996-11-26,5.96,,
1996-11-27,6.04,,
1996-11-29,5.96,,
1996-12-02,5.92,,
1996-12-03,5.83,,
1996-12-04,5.79,,
1996-12-05,5.83,,
1996-12-06,5.73,,
1996-12-09,5.69,,
1996-12-10,5.42,,
1996-12-11,5.29,,
1996-12-12,5.0,,
1996-12-13,5.6,,
1996-12-16,5.54,,
1996-12-17,5.42,,
1996-12-18,5.54,,
1996-12-19,5.67,,
1996-12-20,5.63,,
1996-12-23,5.33,,
1996-12-24,5.46,,
1996-12-26,5.46,,
1996-12-27,5.33,,
1996-12-30,5.29,,
1996-12-31,5.25,,
