DFS,dcf,Deviation
18.21,20.751246336838477,-0.1224623473495734
18.48,20.751246336838477,-0.10945108067106624
18.48,20.331246336838475,-0.09105424754429225
18.06,20.231246336838478,-0.10732143243616787
17.96,20.581246336838475,-0.12736091361710655
18.31,21.121246336838475,-0.13310040004293022
18.85,21.191246336838475,-0.110481766840136
18.92,20.931246336838477,-0.0960882263995303
18.66,20.481246336838478,-0.08892263228935937
18.21,21.521246336838477,-0.15385941339143216
19.25,20.971246336838476,-0.08207649222139479
18.7,21.111246336838477,-0.11421620014119804
18.84,21.501246336838477,-0.12377172444552276
19.23,20.511246336838475,-0.06246555259478992
18.24,20.261246336838475,-0.09975923016954291
17.99,19.791246336838476,-0.09101227412271273
17.52,20.261246336838475,-0.1352950500312714
17.99,20.441246336838475,-0.11991667711674359
18.17,20.711246336838474,-0.12269886106846373
18.44,20.951246336838476,-0.1198614295524254
18.68,20.681246336838477,-0.09676623469610512
18.41,20.941246336838475,-0.12087371955439308
18.67,20.171246336838475,-0.07442506584715924
17.9,19.351246336838475,-0.07499498024971007
17.08,19.431246336838477,-0.12100337240750736
17.16,19.111246336838477,-0.10209937658944257
16.84,19.421246336838475,-0.13290837735487315
17.15,19.431246336838477,-0.1174009272124561
17.16,19.521246336838477,-0.12095776550816717
17.25,19.421246336838475,-0.11179747680353691
17.15,17.535098587311268,-0.021961586665382837
16.3,17.035098587311268,-0.04315200076733405
15.8,17.175098587311265,-0.08006350474908885
15.94,18.105098587311264,-0.11958502058799325
16.87,16.935098587311263,-0.0038440040355027794
15.7,16.565098587311265,-0.0522241737802831
15.33,16.435098587311263,-0.06724015566079145
15.2,15.755098587311263,-0.03523294914563879
14.52,16.535098587311268,-0.12186795117493998
15.3,16.885098587311266,-0.09387558971686594
15.65,17.365098587311266,-0.09876699396135269
16.13,16.715098587311267,-0.03500419601206706
15.48,16.485098587311263,-0.060970128991821526
15.25,16.055098587311264,-0.050145975929886344
14.82,15.645098587311265,-0.05273847158626721
14.41,15.795098587311266,-0.08769167091011143
14.56,16.275098587311266,-0.10538176331837568
15.04,15.565098587311267,-0.03373564159364406
14.33,14.385098587311266,-0.0038302544106209035
13.15,14.805098587311264,-0.11179247321796082
13.57,14.405098587311263,-0.057972431236733124
13.17,15.235098587311265,-0.13554875116011444
14.0,14.995098587311265,-0.0663615901900978
13.76,15.015098587311265,-0.08358910066510683
13.78,14.655098587311263,-0.05971291029518866
13.42,15.405098587311263,-0.12885984312663423
14.17,15.135098587311266,-0.06376559635497647
13.9,15.185098587311264,-0.08462892617536899
13.95,15.255098587311263,-0.08555163244876085
14.02,14.165098587311267,-0.010243387041530605
12.93,14.665098587311267,-0.1183148259782264
13.43,16.005098587311263,-0.1608923914628545
14.77,17.395098587311264,-0.15091024486783444
16.16,17.565098587311265,-0.07999377745174086
16.33,16.425098587311265,-0.0057898335772993414
15.19,15.855098587311266,-0.04194856207602149
14.62,16.555098587311264,-0.11688837593479695
15.32,15.055098587311264,0.017595461839884585
13.82,15.285098587311266,-0.09585143196442969
14.05,14.585098587311265,-0.036688033619244
13.35,15.845098587311263,-0.15746816427569188
14.61,16.155098587311265,-0.09564154492531762
14.92,15.885098587311266,-0.060754963653934735
14.65,16.225098587311265,-0.0970779054953207
14.99,15.745098587311265,-0.04795769192069632
14.51,16.575098587311267,-0.12459042559735733
15.34,16.295098587311266,-0.058612630184084025
15.06,15.525098587311264,-0.029957850811420328
14.29,16.205098587311266,-0.11817876805827066
14.97,16.625098587311268,-0.09955421188145519
15.39,15.575098587311265,-0.011884264248706589
14.34,15.435098587311264,-0.07094859686944355
14.2,15.865098587311264,-0.1049535606821248
14.63,16.845098587311263,-0.1314981076441908
15.61,16.305098587311264,-0.04263075035021224
15.07,15.615098587311264,-0.03490843072577254
14.38,15.825098587311265,-0.09131687738551975
14.59,16.445098587311264,-0.11280556194066382
15.21,16.835098587311265,-0.09653038732639874
15.6,16.385098587311266,-0.047915402103180016
15.15,16.735098587311263,-0.09471701520259357
15.5,16.805098587311264,-0.07766087062986238
15.57,17.49509858731127,-0.11003645265008632
16.26,17.685098587311263,-0.08058188538082245
16.45,19.1429279325979,-0.14067481955109895
17.11,19.0329279325979,-0.10103164050258817
17.0,18.1629279325979,-0.06402755860252773
16.13,18.452927932597902,-0.1258839757616107
16.42,19.3729279325979,-0.15242548482458074
17.34,18.4429279325979,-0.05980221451977119
16.41,18.8429279325979,-0.1291162361444359
16.81,19.1129279325979,-0.1204905883975087
17.08,19.6629279325979,-0.13136029087081336
17.63,17.842927932597902,-0.011933463689493329
15.81,17.4929279325979,-0.09620618910009804
15.46,16.1829279325979,-0.04467225804927899
14.15,16.7029279325979,-0.15284313881373657
14.67,18.0329279325979,-0.18648818124087196
16.0,17.3229279325979,-0.07636861030336817
15.29,17.5329279325979,-0.12792660422836521
15.5,17.2529279325979,-0.1016017651871075
15.22,16.8529279325979,-0.09689283305124663
14.82,15.9529279325979,-0.07101692788838454
13.92,15.5329279325979,-0.10383927226063783
13.5,15.8529279325979,-0.14842229414035535
13.82,15.812927932597901,-0.12603155728608217
13.78,14.992927932597901,-0.08090000419202514
12.96,13.102927932597902,-0.010908091178790658
11.07,12.7329279325979,-0.13060059252676626
10.7,11.772927932597899,-0.09113518223678951
9.74,12.022927932597899,-0.18988119577829043
9.99,11.662927932597901,-0.14343978992805617
9.63,11.602927932597902,-0.17003707547429037
9.57,12.6329279325979,-0.2424559016674469
10.6,13.792927932597902,-0.23149022080016868
11.76,12.0529279325979,-0.024303466695893672
10.02,12.3429279325979,-0.18819910034984533
10.31,12.772927932597899,-0.19282406865478652
10.74,13.8329279325979,-0.22359170434982756
11.8,13.002927932597903,-0.0925120818044528
10.97,12.3229279325979,-0.10978948671922295
10.29,12.5529279325979,-0.18027092521749022
10.52,12.172927932597899,-0.13578721091180712
10.14,11.712927932597898,-0.13428990100932225
9.68,13.6829279325979,-0.29254907665350005
11.65,13.172927932597899,-0.11561043531022752
11.14,13.312927932597901,-0.16321938671937763
11.28,14.2829279325979,-0.21024596264637896
12.25,14.022927932597899,-0.12643065279373822
11.99,14.5329279325979,-0.17497698635758163
12.5,14.1029279325979,-0.11365923021508517
12.07,13.8029279325979,-0.1255478505038995
11.77,13.8629279325979,-0.1509730082110935
