DE,dcf,Deviation
5.67,,
5.44,,
5.31,,
5.35,,
5.44,,
5.4,,
5.4,,
5.29,,
5.17,,
5.21,,
5.13,,
5.08,,
5.13,,
5.08,,
4.98,,
4.9,,
5.0,,
4.96,,
5.0,,
5.08,,
5.06,,
5.23,,
5.13,,
4.98,,
5.06,,
5.29,,
5.13,,
5.21,,
5.27,,
5.19,,
5.04,,
5.08,,
5.0,,
5.04,,
5.04,,
5.0,,
4.94,,
4.98,,
5.0,,
4.92,,
5.0,,
5.0,,
5.06,,
5.13,,
5.04,,
5.0,,
4.98,,
5.0,,
4.96,,
5.06,,
5.0,,
5.04,,
5.04,,
5.02,,
5.08,,
5.21,,
5.31,,
5.35,,
5.27,,
5.27,,
5.21,,
5.19,,
5.17,,
5.17,,
5.23,,
5.1,,
5.17,,
5.17,,
5.17,,
5.25,,
5.27,,
5.17,,
5.08,,
5.06,,
4.98,,
5.02,,
4.98,,
4.96,,
4.94,,
5.02,,
5.06,,
4.85,,
4.81,,
4.81,,
4.63,,
4.71,,
4.69,,
4.65,,
4.58,,
4.44,,
4.58,,
4.63,,
4.63,,
4.71,,
4.71,,
4.75,,
4.88,,
4.79,,
4.75,,
4.88,,
4.81,,
4.9,,
4.96,,
4.98,,
4.88,,
4.81,,
4.79,,
4.77,,
4.71,,
4.67,,
4.67,,
4.67,,
4.69,,
4.73,,
4.79,,
4.77,,
4.67,,
4.65,,
4.69,,
4.73,,
4.81,,
4.94,,
5.0,,
4.98,,
4.94,,
4.94,,
4.94,,
4.92,,
4.88,,
4.9,,
4.94,,
4.94,,
4.96,,
5.1,,
5.15,,
5.08,,
5.04,,
5.04,,
5.08,,
5.13,,
5.17,,
5.25,,
5.29,,
5.33,,
5.29,,
5.33,,
5.33,,
5.29,,
5.13,,
5.19,,
5.17,,
5.27,,
5.29,,
5.31,,
5.33,,
5.46,,
5.5,,
5.48,,
5.46,,
5.5,,
5.44,,
5.48,,
5.46,,
5.48,,
5.46,,
5.5,,
5.5,,
5.48,,
5.52,,
5.48,,
5.42,,
5.4,,
5.4,,
5.27,,
5.31,,
5.42,,
5.4,,
5.44,,
5.33,,
5.33,,
5.31,,
5.25,,
5.21,,
5.17,,
5.15,,
5.06,,
5.04,,
4.98,,
4.98,,
4.96,,
4.92,,
4.98,,
4.94,,
4.92,,
4.81,,
4.81,,
4.75,,
4.71,,
4.6,,
4.56,,
4.54,,
4.6,,
4.58,,
4.63,,
4.58,,
4.54,,
4.54,,
4.48,,
4.35,,
4.4,,
4.54,,
4.46,,
4.42,,
4.29,,
4.33,,
4.33,,
4.4,,
4.4,,
4.46,,
4.5,,
4.56,,
4.46,,
4.48,,
4.58,,
4.56,,
4.52,,
4.52,,
4.52,,
4.58,,
4.58,,
4.52,,
4.52,,
4.5,,
4.44,,
4.31,,
4.27,,
4.35,,
4.27,,
4.29,,
4.31,,
4.27,,
4.23,,
4.25,,
4.21,,
4.23,,
4.21,,
4.29,,
4.31,,
4.35,,
4.38,,
4.33,,
4.29,,
4.31,,
4.33,,
4.33,,
4.33,,
4.38,,
4.33,,
4.35,,
4.35,,
4.33,,
4.31,,
4.23,,
4.29,,
4.23,,
4.25,,
4.25,,
4.25,,
4.17,,
4.15,,
4.13,,
4.17,,
4.13,,
4.15,,
4.1,,
4.06,,
4.06,,
4.15,,
4.19,,
4.17,,
4.1,,
4.04,,
4.13,,
4.1,,
4.17,,
4.23,,
4.25,,
