date,FMC,dcf,Deviation
1983-06-17,1.89,,
1983-06-20,1.88,,
1983-06-21,1.88,,
1983-06-22,1.9,,
1983-06-23,1.9,,
1983-06-24,1.89,,
1983-06-27,1.88,,
1983-06-28,1.88,,
1983-06-29,1.83,,
1983-06-30,1.84,,
1983-07-01,1.86,,
1983-07-05,1.82,,
1983-07-06,1.79,,
1983-07-07,1.78,,
1983-07-08,1.78,,
1983-07-11,1.79,,
1983-07-12,1.75,,
1983-07-13,1.76,,
1983-07-14,1.75,,
1983-07-15,1.73,,
1983-07-18,1.73,,
1983-07-19,1.73,,
1983-07-20,1.73,,
1983-07-21,1.71,,
1983-07-22,1.71,,
1983-07-25,1.71,,
1983-07-26,1.74,,
1983-07-27,1.75,,
1983-07-28,1.76,,
1983-07-29,1.72,,
1983-08-01,1.7,,
1983-08-02,1.66,,
1983-08-03,1.75,,
1983-08-04,1.69,,
1983-08-05,1.69,,
1983-08-08,1.63,,
1983-08-09,1.64,,
1983-08-10,1.64,,
1983-08-11,1.6,,
1983-08-12,1.62,,
1983-08-15,1.65,,
1983-08-16,1.66,,
1983-08-17,1.69,,
1983-08-18,1.77,,
1983-08-19,1.8,,
1983-08-22,1.79,,
1983-08-23,1.78,,
1983-08-24,1.76,,
1983-08-25,1.76,,
1983-08-26,1.78,,
1983-08-29,1.82,,
1983-08-30,1.83,,
1983-08-31,1.88,,
1983-09-01,1.85,,
1983-09-02,1.83,,
1983-09-06,1.86,,
1983-09-07,1.9,,
1983-09-08,1.93,,
1983-09-09,1.94,,
1983-09-12,1.91,,
1983-09-13,1.87,,
1983-09-14,1.9,,
1983-09-15,1.92,,
1983-09-16,1.95,,
1983-09-19,1.95,,
1983-09-20,1.92,,
1983-09-21,1.92,,
1983-09-22,1.96,,
1983-09-23,1.96,,
1983-09-26,1.98,,
1983-09-27,1.96,,
1983-09-28,1.96,,
1983-09-29,1.97,,
1983-09-30,1.98,,
1983-10-03,1.97,,
1983-10-04,2.01,,
1983-10-05,2.01,,
1983-10-06,2.03,,
1983-10-07,2.02,,
1983-10-10,2.03,,
1983-10-11,2.03,,
1983-10-12,2.0,,
1983-10-13,1.99,,
1983-10-14,2.01,,
1983-10-17,2.02,,
1983-10-18,1.99,,
1983-10-19,1.98,,
1983-10-20,1.99,,
1983-10-21,1.99,,
1983-10-24,1.98,,
1983-10-25,1.96,,
1983-10-26,1.94,,
1983-10-27,1.96,,
1983-10-28,1.96,,
1983-10-31,1.96,,
1983-11-01,1.95,,
1983-11-02,1.95,,
1983-11-03,1.93,,
1983-11-04,1.92,,
1983-11-07,1.88,,
1983-11-08,1.84,,
1983-11-09,1.81,,
1983-11-10,1.85,,
1983-11-11,1.9,,
1983-11-14,1.9,,
1983-11-15,1.9,,
1983-11-16,1.92,,
1983-11-17,1.95,,
1983-11-18,1.95,,
1983-11-21,1.96,,
1983-11-22,2.01,,
1983-11-23,2.02,,
1983-11-25,2.03,,
1983-11-28,2.05,,
1983-11-29,2.07,,
1983-11-30,2.08,,
1983-12-01,2.09,,
1983-12-02,2.1,,
1983-12-05,2.09,,
1983-12-06,2.09,,
1983-12-07,2.08,,
1983-12-08,2.1,,
1983-12-09,2.09,,
1983-12-12,2.09,,
1983-12-13,2.11,,
1983-12-14,2.09,,
1983-12-15,2.09,,
1983-12-16,2.04,,
1983-12-19,2.05,,
1983-12-20,2.03,,
1983-12-21,2.01,,
1983-12-22,1.97,,
1983-12-23,1.95,,
1983-12-27,2.03,,
1983-12-28,2.03,,
1983-12-29,2.03,,
1983-12-30,2.0,,
1984-01-03,2.0,,
1984-01-04,2.06,,
1984-01-05,2.09,,
1984-01-06,2.09,,
1984-01-09,2.08,,
1984-01-10,2.03,,
1984-01-11,1.99,,
1984-01-12,1.98,,
1984-01-13,1.99,,
1984-01-16,2.03,,
1984-01-17,2.04,,
1984-01-18,2.02,,
1984-01-19,2.02,,
1984-01-20,2.02,,
1984-01-23,2.03,,
1984-01-24,1.99,,
1984-01-25,1.98,,
1984-01-26,1.91,,
1984-01-27,1.91,,
1984-01-30,1.91,,
1984-01-31,1.94,,
1984-02-01,1.93,,
1984-02-02,1.91,,
1984-02-03,1.9,,
1984-02-06,1.88,,
1984-02-07,1.86,,
1984-02-08,1.88,,
1984-02-09,1.88,,
1984-02-10,1.91,,
1984-02-13,1.91,,
1984-02-14,1.92,,
1984-02-15,1.93,,
1984-02-16,1.95,,
1984-02-17,1.98,,
1984-02-21,1.97,,
1984-02-22,1.92,,
1984-02-23,1.92,,
1984-02-24,1.93,,
1984-02-27,1.92,,
1984-02-28,1.9,,
1984-02-29,1.92,,
1984-03-01,1.95,,
1984-03-02,1.96,,
1984-03-05,1.94,,
1984-03-06,1.92,,
1984-03-07,1.86,,
1984-03-08,1.84,,
1984-03-09,1.82,,
1984-03-12,1.86,,
1984-03-13,1.86,,
1984-03-14,1.85,,
1984-03-15,1.84,,
1984-03-16,1.85,,
1984-03-19,1.84,,
1984-03-20,1.84,,
1984-03-21,1.88,,
1984-03-22,1.85,,
1984-03-23,1.85,,
1984-03-26,1.85,,
1984-03-27,1.88,,
1984-03-28,1.92,,
1984-03-29,1.92,,
1984-03-30,1.96,,
1984-04-02,1.97,,
1984-04-03,1.97,,
1984-04-04,1.99,,
1984-04-05,1.93,,
1984-04-06,1.9,,
1984-04-09,1.91,,
1984-04-10,1.91,,
1984-04-11,1.91,,
1984-04-12,1.94,,
1984-04-13,1.95,,
1984-04-16,1.95,,
1984-04-17,1.95,,
1984-04-18,1.96,,
1984-04-19,1.95,,
1984-04-23,1.94,,
1984-04-24,1.93,,
1984-04-25,1.94,,
1984-04-26,1.93,,
1984-04-27,1.92,,
1984-04-30,1.94,,
1984-05-01,1.95,,
1984-05-02,1.97,,
1984-05-03,2.05,,
1984-05-04,2.01,,
1984-05-07,1.99,,
1984-05-08,2.08,,
1984-05-09,2.03,,
1984-05-10,2.04,,
1984-05-11,2.02,,
1984-05-14,2.04,,
1984-05-15,2.07,,
1984-05-16,2.07,,
1984-05-17,2.0,,
1984-05-18,2.01,,
1984-05-21,1.99,,
1984-05-22,1.99,,
1984-05-23,1.99,,
1984-05-24,1.96,,
1984-05-25,1.98,,
1984-05-29,1.97,,
1984-05-30,1.95,,
1984-05-31,1.98,,
1984-06-01,2.02,,
1984-06-04,2.02,,
1984-06-05,2.02,,
1984-06-06,2.02,,
1984-06-07,2.02,,
1984-06-08,2.04,,
