date,LEN,dcf,Deviation
1982-06-02,1.91,,
1982-06-03,1.95,,
1982-06-04,1.95,,
1982-06-07,1.88,,
1982-06-08,1.86,,
1982-06-09,1.84,,
1982-06-10,1.84,,
1982-06-11,1.93,,
1982-06-14,1.88,,
1982-06-15,1.91,,
1982-06-16,1.93,,
1982-06-17,1.95,,
1982-06-18,1.95,,
1982-06-21,1.93,,
1982-06-22,1.88,,
1982-06-23,1.97,,
1982-06-24,1.97,,
1982-06-25,1.91,,
1982-06-28,1.86,,
1982-06-29,1.78,,
1982-06-30,1.72,,
1982-07-01,1.72,,
1982-07-02,1.74,,
1982-07-06,1.72,,
1982-07-07,1.76,,
1982-07-08,1.74,,
1982-07-09,1.86,,
1982-07-12,1.93,,
1982-07-13,1.88,,
1982-07-14,1.84,,
1982-07-15,1.84,,
1982-07-16,1.82,,
1982-07-19,1.8,,
1982-07-20,1.88,,
1982-07-21,2.01,,
1982-07-22,1.93,,
1982-07-23,1.91,,
1982-07-26,2.01,,
1982-07-27,2.03,,
1982-07-28,1.95,,
1982-07-29,1.95,,
1982-07-30,1.97,,
1982-08-02,1.97,,
1982-08-03,1.97,,
1982-08-04,1.95,,
1982-08-05,1.93,,
1982-08-06,1.93,,
1982-08-09,1.88,,
1982-08-10,1.8,,
1982-08-11,1.74,,
1982-08-12,1.78,,
1982-08-13,1.76,,
1982-08-16,1.84,,
1982-08-17,2.11,,
1982-08-18,2.21,,
1982-08-19,2.23,,
1982-08-20,2.34,,
1982-08-23,2.29,,
1982-08-24,2.42,,
1982-08-25,2.58,,
1982-08-26,2.58,,
1982-08-27,2.44,,
1982-08-30,2.46,,
1982-08-31,2.5,,
1982-09-01,2.38,,
1982-09-02,2.38,,
1982-09-03,2.34,,
1982-09-07,2.25,,
1982-09-08,2.4,,
1982-09-09,2.44,,
1982-09-10,2.38,,
1982-09-13,2.4,,
1982-09-14,2.48,,
1982-09-15,2.58,,
1982-09-16,2.54,,
1982-09-17,2.48,,
1982-09-20,2.46,,
1982-09-21,2.5,,
1982-09-22,2.46,,
1982-09-23,2.42,,
1982-09-24,2.48,,
1982-09-27,2.46,,
1982-09-28,2.46,,
1982-09-29,2.38,,
1982-09-30,2.46,,
1982-10-01,2.46,,
1982-10-04,2.36,,
1982-10-05,2.4,,
1982-10-06,2.46,,
1982-10-07,2.66,,
1982-10-08,2.75,,
1982-10-11,2.95,,
1982-10-12,3.13,,
1982-10-13,3.01,,
1982-10-14,2.79,,
1982-10-15,2.93,,
1982-10-18,3.01,,
1982-10-19,3.18,,
1982-10-20,3.2,,
1982-10-21,3.22,,
1982-10-22,3.34,,
1982-10-25,3.28,,
1982-10-26,3.09,,
1982-10-27,3.15,,
1982-10-28,3.11,,
1982-10-29,3.09,,
1982-11-01,3.03,,
1982-11-02,3.07,,
1982-11-03,3.26,,
1982-11-04,3.4,,
1982-11-05,3.32,,
1982-11-08,3.3,,
1982-11-09,3.11,,
1982-11-10,3.2,,
1982-11-11,3.15,,
1982-11-12,3.18,,
1982-11-15,3.11,,
1982-11-16,3.03,,
1982-11-17,3.38,,
1982-11-18,3.42,,
1982-11-19,3.46,,
1982-11-22,3.61,,
1982-11-23,3.81,,
1982-11-24,3.83,,
1982-11-26,3.93,,
1982-11-29,3.83,,
1982-11-30,3.85,,
1982-12-01,4.02,,
1982-12-02,4.18,,
1982-12-03,4.18,,
1982-12-06,4.42,,
1982-12-07,4.36,,
1982-12-08,4.47,,
1982-12-09,4.26,,
1982-12-10,3.95,,
1982-12-13,3.81,,
1982-12-14,3.85,,
1982-12-15,3.91,,
1982-12-16,3.91,,
1982-12-17,4.18,,
1982-12-20,4.1,,
1982-12-21,3.99,,
1982-12-22,4.14,,
1982-12-23,4.24,,
1982-12-27,4.14,,
1982-12-28,4.1,,
1982-12-29,4.1,,
1982-12-30,4.22,,
1982-12-31,4.51,,
1983-01-03,4.36,,
1983-01-04,4.22,,
1983-01-05,4.18,,
1983-01-06,4.14,,
1983-01-07,4.14,,
1983-01-10,4.14,,
1983-01-11,4.16,,
1983-01-12,4.4,,
1983-01-13,4.34,,
1983-01-14,4.42,,
1983-01-17,4.42,,
1983-01-18,4.18,,
1983-01-19,4.22,,
1983-01-20,4.2,,
1983-01-21,4.02,,
1983-01-24,3.61,,
1983-01-25,3.71,,
1983-01-26,3.89,,
1983-01-27,3.89,,
1983-01-28,4.04,,
1983-01-31,4.1,,
1983-02-01,3.73,,
1983-02-02,3.65,,
1983-02-03,3.69,,
1983-02-04,3.81,,
1983-02-07,3.85,,
1983-02-08,3.81,,
1983-02-09,3.73,,
1983-02-10,3.81,,
1983-02-11,3.81,,
1983-02-14,3.85,,
1983-02-15,3.81,,
1983-02-16,3.91,,
1983-02-17,3.99,,
1983-02-18,4.02,,
1983-02-22,4.02,,
1983-02-23,3.95,,
1983-02-24,3.95,,
1983-02-25,3.99,,
1983-02-28,4.08,,
1983-03-01,4.1,,
1983-03-02,4.04,,
1983-03-03,4.02,,
1983-03-04,3.91,,
1983-03-07,3.93,,
1983-03-08,3.93,,
1983-03-09,3.93,,
1983-03-10,3.97,,
1983-03-11,3.97,,
1983-03-14,3.91,,
1983-03-15,3.87,,
1983-03-16,4.02,,
1983-03-17,4.18,,
1983-03-18,4.34,,
1983-03-21,4.32,,
1983-03-22,4.4,,
1983-03-23,4.42,,
1983-03-24,4.42,,
1983-03-25,4.26,,
1983-03-28,4.1,,
1983-03-29,4.04,,
1983-03-30,4.04,,
1983-03-31,4.06,,
1983-04-04,4.04,,
1983-04-05,3.81,,
1983-04-06,4.02,,
1983-04-07,3.85,,
