date,LRCX,dcf,Deviation
1988-04-07,1.42,,
1988-04-08,1.39,,
1988-04-11,1.49,,
1988-04-12,1.53,,
1988-04-13,1.58,,
1988-04-14,1.53,,
1988-04-15,1.56,,
1988-04-18,1.58,,
1988-04-19,1.56,,
1988-04-20,1.5,,
1988-04-21,1.56,,
1988-04-22,1.56,,
1988-04-25,1.58,,
1988-04-26,1.67,,
1988-04-27,1.61,,
1988-04-28,1.81,,
1988-04-29,1.86,,
1988-05-02,1.83,,
1988-05-03,1.89,,
1988-05-04,1.86,,
1988-05-05,1.89,,
1988-05-06,1.89,,
1988-05-09,1.78,,
1988-05-10,1.75,,
1988-05-11,1.67,,
1988-05-12,1.72,,
1988-05-13,1.75,,
1988-05-16,1.72,,
1988-05-17,1.58,,
1988-05-18,1.56,,
1988-05-19,1.5,,
1988-05-20,1.5,,
1988-05-23,1.44,,
1988-05-24,1.5,,
1988-05-25,1.65,,
1988-05-26,1.61,,
1988-05-27,1.64,,
1988-05-31,1.58,,
1988-06-01,1.61,,
1988-06-02,1.53,,
1988-06-03,1.58,,
1988-06-06,1.58,,
1988-06-07,1.58,,
1988-06-08,1.64,,
1988-06-09,1.69,,
1988-06-10,1.78,,
1988-06-13,1.86,,
1988-06-14,1.92,,
1988-06-15,1.86,,
1988-06-16,1.75,,
1988-06-17,1.67,,
1988-06-20,1.69,,
1988-06-21,1.67,,
1988-06-22,1.64,,
1988-06-23,1.75,,
1988-06-24,1.78,,
1988-06-27,1.78,,
1988-06-28,1.81,,
1988-06-29,1.75,,
1988-06-30,1.83,,
1988-07-01,1.83,,
1988-07-05,1.83,,
1988-07-06,1.83,,
1988-07-07,1.94,,
1988-07-08,1.94,,
1988-07-11,1.78,,
1988-07-12,1.78,,
1988-07-13,1.78,,
1988-07-14,1.81,,
1988-07-15,1.75,,
1988-07-18,1.67,,
1988-07-19,1.72,,
1988-07-20,1.75,,
1988-07-21,1.69,,
1988-07-22,1.75,,
1988-07-25,1.74,,
1988-07-26,1.75,,
1988-07-27,1.72,,
1988-07-28,1.67,,
