date,INFO,dcf,Deviation
2017-05-03,43.58,44.21665087636191,-0.01439844184811978
2017-05-04,43.85,44.09665087636191,-0.0055934151791589
2017-05-05,43.73,44.35665087636191,-0.014127551651918369
2017-05-08,43.99,43.866650876361916,0.002811911125509603
2017-05-09,43.5,43.806650876361914,-0.007000098620353223
2017-05-10,43.44,43.806650876361914,-0.008369753656738976
2017-05-11,43.44,43.56665087636191,-0.002907060189715649
2017-05-12,43.2,44.09665087636191,-0.020333763642865765
2017-05-15,43.73,44.226650876361916,-0.01122967411098652
2017-05-16,43.86,43.60665087636191,0.0058098734607343605
2017-05-17,43.24,44.476650876361916,-0.027804496336731988
2017-05-18,44.11,44.66665087636191,-0.012462337458493011
2017-05-19,44.3,45.06665087636191,-0.017011489903369648
2017-05-22,44.7,45.046650876361916,-0.007695375119303627
2017-05-23,44.68,45.196650876361915,-0.011431176123541609
2017-05-24,44.83,46.266650876361915,-0.03105154250738984
2017-05-25,45.9,46.626650876361914,-0.01558445358404037
2017-05-26,46.26,46.64665087636191,-0.008288931125768118
2017-05-30,46.28,46.21665087636191,0.0013706991406097213
2017-05-31,45.85,46.99792074480783,-0.02442492618005121
2017-06-01,46.61,47.44792074480783,-0.01765979903133108
2017-06-02,47.06,47.18792074480783,-0.0027108790298183694
2017-06-05,46.8,47.01792074480783,-0.00463484436052819
2017-06-06,46.63,47.007920744807834,-0.008039512040097452
2017-06-07,46.62,46.86792074480783,-0.0052897747727650435
2017-06-08,46.48,46.70792074480783,-0.004879702225519589
2017-06-09,46.32,46.69792074480783,-0.008092881626851622
2017-06-12,46.31,46.98792074480783,-0.014427553593818865
2017-06-13,46.6,47.57792074480783,-0.020554087473747873
2017-06-14,47.19,47.70792074480783,-0.010856074562088258
2017-06-15,47.32,47.91792074480783,-0.012478019403056373
2017-06-16,47.53,48.24792074480783,-0.014879827642833465
2017-06-19,47.86,47.32792074480783,0.011242396598429627
2017-06-20,46.94,47.15792074480783,-0.004621084673921416
2017-06-21,46.77,47.06792074480783,-0.006329592216811286
2017-06-22,46.68,46.93792074480783,-0.005494933322890416
2017-06-23,46.55,46.78792074480783,-0.005085089078984861
2017-06-26,46.4,45.757920744807834,0.01403208984894766
2017-06-27,45.37,45.43792074480783,-0.0014948031004609064
2017-06-28,45.05,44.57792074480783,0.010589979238705416
2017-06-29,44.19,44.42792074480783,-0.005355207734668466
2017-06-30,44.04,44.55792074480783,-0.011623539342736966
2017-07-03,44.17,44.72792074480783,-0.012473657069619004
2017-07-05,44.34,44.31792074480783,0.000498201513543739
2017-07-06,43.93,44.65792074480783,-0.016299924686763778
2017-07-07,44.27,44.10792074480783,0.003674606566242522
2017-07-10,43.72,44.17792074480783,-0.01036537566928497
2017-07-11,43.79,44.86792074480783,-0.024024307944614742
2017-07-12,44.48,44.88792074480783,-0.009087539321032567
2017-07-13,44.5,45.14792074480783,-0.014351064990791196
2017-07-14,44.76,45.64792074480783,-0.019451504697699185
2017-07-17,45.26,45.77792074480783,-0.011313767344196757
2017-07-18,45.39,45.77792074480783,-0.008473970387827823
2017-07-19,45.39,45.67792074480783,-0.006303280449571624
2017-07-20,45.29,46.03792074480783,-0.01624575421104746
2017-07-21,45.65,46.08792074480783,-0.009501855100659262
2017-07-24,45.7,45.96792074480783,-0.005828428618627202
2017-07-25,45.58,46.31792074480783,-0.01593164660549984
2017-07-26,45.93,46.45792074480783,-0.011363417396738074
2017-07-27,46.07,46.91792074480783,-0.018072428005063812
2017-07-28,46.53,47.03792074480783,-0.01079811217769211
2017-07-31,46.65,47.56792074480783,-0.019297054200293706
2017-08-01,47.18,47.37792074480783,-0.004177489043343474
2017-08-02,46.99,47.04792074480783,-0.0012311010537957578
