date,SYF,dcf,Deviation
2015-12-04,32.03,46.045808383233535,-0.30438836618051535
2015-12-07,31.35,46.05580838323353,-0.3193040986462662
2015-12-08,31.36,45.30580838323353,-0.3078150215369406
2015-12-09,30.61,45.74580838323353,-0.3308676558174237
2015-12-10,31.05,44.66580838323353,-0.3048373885100124
2015-12-11,29.97,44.37580838323353,-0.32463202154704784
2015-12-14,29.68,44.77580838323353,-0.33714206238398625
2015-12-15,30.08,45.225808383233534,-0.3348930383928418
2015-12-16,30.53,44.70580838323353,-0.3170909753317429
2015-12-17,30.01,44.20580838323353,-0.3211299352375998
2015-12-18,29.51,44.42580838323353,-0.3357464709378887
2015-12-21,29.73,44.905808383233534,-0.3379475602291957
2015-12-22,30.21,45.20580838323353,-0.33172304443946976
2015-12-23,30.51,45.295808383233535,-0.3264277404685104
2015-12-24,30.6,44.865808383233535,-0.31796615055675004
2015-12-28,30.17,45.38580838323353,-0.3352547619016205
2015-12-29,30.69,45.12580838323353,-0.3199013801733278
2015-12-30,30.43,45.10580838323353,-0.32536404754223935
2015-12-31,30.41,44.69164572112508,-0.31955962888997747
2016-01-04,29.94,44.86164572112507,-0.3326147643776376
2016-01-05,30.11,44.65164572112508,-0.32566875165018383
2016-01-06,29.9,43.87164572112508,-0.3184664147303107
2016-01-07,29.12,43.591645721125076,-0.33198209156191427
2016-01-08,28.84,43.451645721125075,-0.3362737009986544
2016-01-11,28.7,43.65164572112508,-0.34252192498413125
2016-01-12,28.9,42.32164572112507,-0.3171343054465765
2016-01-13,27.57,42.93164572112507,-0.35781637212118744
2016-01-14,28.18,42.39164572112507,-0.3352463788411727
2016-01-15,27.64,42.781645721125074,-0.3539285472986914
2016-01-19,28.03,42.37164572112508,-0.3384727092149459
2016-01-20,27.62,42.481645721125076,-0.34983686410563763
2016-01-21,27.73,43.811645721125075,-0.367063264947631
2016-01-22,29.06,43.231645721125076,-0.3278072228048474
2016-01-25,28.48,43.411645721125076,-0.3439548414507355
2016-01-26,28.66,43.19164572112508,-0.33644575191580706
2016-01-27,28.44,42.741645721125074,-0.3346068098181928
2016-01-28,27.99,43.171645721125074,-0.35165779454398416
2016-01-29,28.42,43.22164572112507,-0.3424590959962127
2016-02-01,28.47,41.76164572112508,-0.31827399259798606
2016-02-02,27.01,41.091645721125076,-0.3426887746646211
