CHRW,dcf,Deviation
14.38,15.396239343601419,-0.06600568625375136
14.37,15.436239343601418,-0.06907377631737699
14.41,15.746239343601419,-0.08486085562673784
14.72,16.086239343601417,-0.08493217801989639
15.06,15.996239343601419,-0.058528715624395766
14.97,15.966239343601417,-0.062396618399727766
14.94,15.486239343601419,-0.03527256240083321
14.46,15.416239343601418,-0.062028055110490254
14.39,15.416239343601418,-0.06656872151037041
14.39,15.706239343601418,-0.0838035964438324
14.68,15.876239343601418,-0.07534777712226526
14.85,16.05623934360142,-0.07512589453782148
15.03,15.726239343601419,-0.04427246262690898
14.7,15.876239343601418,-0.07408803294940725
14.85,15.676239343601418,-0.05270647669325523
14.65,15.286239343601418,-0.04162170493998818
14.26,15.356239343601418,-0.07138722698133737
14.33,15.316239343601419,-0.06439174274287074
14.29,15.896239343601419,-0.10104524151166394
14.87,15.826239343601419,-0.06042113497974044
14.8,15.836239343601418,-0.06543468566734612
14.81,16.03623934360142,-0.07646676488965587
15.01,16.276239343601418,-0.07779680040765724
15.25,16.37623934360142,-0.06877277010740979
15.35,16.526239343601418,-0.07117404747359124
15.5,16.476239343601417,-0.05925134511842001
15.45,16.836239343601417,-0.08233663796946766
15.81,16.546239343601417,-0.04449587173934644
15.52,16.48623934360142,-0.05860883876931178
15.46,16.136239343601417,-0.04190811311122311
15.11,16.226239343601417,-0.06879223953032532
15.2,15.336239343601418,-0.00888349096209562
14.31,15.356239343601418,-0.06813122146584416
14.33,15.746239343601419,-0.08994143380507647
14.72,15.766239343601418,-0.06635947360687655
14.74,15.726239343601419,-0.06271298064674902
14.7,15.776239343601418,-0.06821900455243302
14.75,15.656239343601419,-0.05788359028707568
14.63,15.656239343601419,-0.06554826616270615
14.63,15.366239343601418,-0.04791278641042329
14.34,15.686239343601418,-0.08582295055637812
14.66,15.286239343601418,-0.04096752180342844
14.26,15.386239343601417,-0.07319783076621511
14.36,15.596239343601418,-0.0792652200550259
14.57,15.646239343601419,-0.06878581619304902
14.62,15.866239343601418,-0.07854661187271228
14.84,15.576239343601419,-0.047266822713780354
14.55,15.856239343601418,-0.08238014798436633
14.83,16.19623934360142,-0.08435534413988355
15.17,16.23623934360142,-0.06567033911221665
15.21,16.366239343601418,-0.07064783297657584
15.34,16.35623934360142,-0.06213160141845042
15.33,16.60623934360142,-0.07685300188649691
15.58,16.516239343601416,-0.05668598790100032
15.49,16.32623934360142,-0.05122057358108967
15.3,16.50623934360142,-0.07307778098280227
15.48,16.55623934360142,-0.06500506070645562
15.53,16.726239343601417,-0.07151872689535776
15.7,16.73623934360142,-0.06191590131612168
15.71,16.846239343601418,-0.06744765525565122
15.82,17.026239343601418,-0.07084590550259895
16.0,16.78623934360142,-0.04683832557773693
15.76,17.246239343601417,-0.08617759002357994
16.22,17.41623934360142,-0.06868528388942408
16.39,17.496239343601417,-0.06322726397807199
16.47,17.776239343601418,-0.073482322011579
16.75,17.82623934360142,-0.06037388609323957
16.8,18.13578086014639,-0.07365444424186807
16.74,17.875780860146392,-0.0635374123811614
16.48,17.565780860146397,-0.06181227403387679
16.17,17.89578086014639,-0.09643506889323139
16.5,18.055780860146392,-0.0861652493568078
16.66,17.815780860146397,-0.06487399397305449
16.42,18.14578086014639,-0.0951064533098559
16.75,18.845780860146395,-0.11120689960787933
17.45,18.565780860146397,-0.060098784346935274
17.17,18.855780860146393,-0.08940392724384383
17.46,18.565780860146397,-0.05956015900845213
17.17,18.905780860146397,-0.0918121749631321
17.51,18.72578086014639,-0.06492550934064945
17.33,18.555780860146392,-0.06605924425304532
17.16,18.625780860146392,-0.07869634412389792
17.23,18.265780860146393,-0.056706081611125336
16.87,18.365780860146394,-0.08144390219705966
16.97,17.515780860146393,-0.031159379333650317
16.12,17.625780860146392,-0.08543059011649856
16.23,17.47578086014639,-0.07128613422862262
16.08,17.275780860146394,-0.06921718154604228
15.88,17.135780860146394,-0.07328413396479816
15.74,17.555780860146392,-0.10342922793416842
16.16,17.675780860146393,-0.08575467596817887
16.28,17.89578086014639,-0.09028836868162082
16.5,17.945780860146392,-0.08056383120988353
16.55,17.905780860146397,-0.07571749429615837
16.51,17.89578086014639,-0.07743617733007124
16.5,17.565780860146397,-0.060673696696539214
16.17,17.63578086014639,-0.08311403230569636
16.24,18.14578086014639,-0.10502611460122191
16.75,18.515780860146393,-0.09536626478157784
17.12,18.595780860146395,-0.07936105890068956
17.2,18.22578086014639,-0.05628186073439667
16.83,18.64578086014639,-0.09738293471138315
17.25,18.39578086014639,-0.06228498093433332
17.0,18.315780860146397,-0.07183864396463846
