date,FBHS,dcf,Deviation
2018-05-09,55.25,57.4168376068376,-0.037738713888686215
2018-05-10,55.81,57.726837606837606,-0.03320531119152381
2018-05-11,56.12,57.75683760683761,-0.028340152866053514
2018-05-14,56.15,57.56683760683761,-0.02461204515895321
2018-05-15,55.96,58.016837606837605,-0.035452425393748044
2018-05-16,56.41,58.59683760683761,-0.037320061903518775
2018-05-17,56.99,59.38683760683761,-0.040359744741849
2018-05-18,57.78,59.34683760683761,-0.026401366442094787
2018-05-21,57.74,58.52683760683761,-0.013444047876348675
2018-05-22,56.92,58.68683760683761,-0.030106198917621563
2018-05-23,57.08,58.57683760683761,-0.025553404178017325
2018-05-24,56.97,59.10683760683761,-0.03615212204468232
2018-05-25,57.5,58.406837606837605,-0.015526223366893022
2018-05-29,56.8,59.02683760683761,-0.03772584975109117
2018-05-30,57.42,57.77683760683761,-0.006176136002213117
2018-05-31,56.17,58.406837606837605,-0.03829752985249346
2018-06-01,56.8,58.736837606837604,-0.032974836333581226
2018-06-04,57.13,59.52683760683761,-0.04026482345103266
2018-06-05,57.92,59.52683760683761,-0.026993498587148834
2018-06-06,57.92,59.24683760683761,-0.022395078968476034
2018-06-07,57.64,60.126837606837604,-0.04135986035218986
2018-06-08,58.52,59.42683760683761,-0.015259731854438519
2018-06-11,57.82,59.59683760683761,-0.029814293479118237
2018-06-12,57.99,57.84683760683761,0.002474852543114192
2018-06-13,56.24,58.406837606837605,-0.037099040037461894
2018-06-14,56.8,58.476837606837606,-0.028675244343950967
2018-06-15,56.87,57.60683760683761,-0.012790801186943646
2018-06-18,56.0,58.21683760683761,-0.038078976769724715
2018-06-19,56.61,57.96683760683761,-0.0234071352320514
2018-06-20,56.36,57.10683760683761,-0.013077901668786973
2018-06-21,55.5,56.85683760683761,-0.02386410612950507
2018-06-22,55.25,55.93683760683761,-0.012278806529342434
2018-06-25,54.33,56.17683760683761,-0.032875428477533664
2018-06-26,54.57,54.906837606837605,-0.00613471147709399
2018-06-27,53.3,54.99683760683761,-0.03085336686025464
2018-06-28,53.39,55.296837606837606,-0.034483664696981164
2018-06-29,53.69,55.692583668005355,-0.0359578158546775
2018-07-02,53.38,55.71258366800536,-0.04186816540236871
2018-07-03,53.4,56.57258366800536,-0.056079879374496655
2018-07-05,54.26,56.86258366800536,-0.04576970478866482
2018-07-06,54.55,57.53258366800535,-0.05184164308031958
2018-07-09,55.22,57.50258366800536,-0.03969532362552597
2018-07-10,55.19,56.71258366800536,-0.026847369129196164
2018-07-11,54.4,56.802583668005354,-0.042297084267288954
2018-07-12,54.49,57.49258366800535,-0.05222558243936237
2018-07-13,55.18,57.442583668005355,-0.039388612480980356
2018-07-16,55.13,58.49258366800535,-0.05748735065441535
2018-07-17,56.18,58.832583668005356,-0.04508698246152154
2018-07-18,56.52,59.06258366800535,-0.04304897466554081
2018-07-19,56.75,58.542583668005356,-0.03062016664947842
2018-07-20,56.23,57.652583668005356,-0.024675106950928005
2018-07-23,55.34,57.67258366800535,-0.04044527780189222
2018-07-24,55.36,56.24258366800535,-0.01569244530470293
2018-07-25,53.93,56.28258366800535,-0.04179949665926075
2018-07-26,53.97,59.64258366800536,-0.09510962334531392
2018-07-27,57.33,58.82258366800536,-0.025374330315538374
2018-07-30,56.51,60.31258366800535,-0.06304793190318181
2018-07-31,58.0,59.27258366800535,-0.02147002187610525
2018-08-01,56.96,59.81258366800535,-0.04769203222918528
2018-08-02,57.5,59.832583668005356,-0.038985173713176446
2018-08-03,57.52,59.662583668005354,-0.03591168092766206
2018-08-06,57.35,59.56258366800535,-0.03714720772251967
2018-08-07,57.25,58.42258366800535,-0.020070725982759052
2018-08-08,56.11,58.27258366800535,-0.03711151165574156
2018-08-09,55.96,56.942583668005355,-0.01725569169348118
2018-08-10,54.63,55.95258366800535,-0.02363757991682569
2018-08-13,53.64,56.482583668005354,-0.050326728761445394
2018-08-14,54.17,56.552583668005354,-0.04213041232549908
2018-08-15,54.24,57.24258366800535,-0.052453671298620774
2018-08-16,54.93,57.24258366800535,-0.040399708046335525
2018-08-17,54.93,57.17258366800535,-0.03922480888790647
2018-08-20,54.86,58.24258366800535,-0.05807750025800318
2018-08-21,55.93,57.192583668005355,-0.022076003338727834
2018-08-22,54.88,56.482583668005354,-0.028373058807384832
2018-08-23,54.17,56.60258366800535,-0.042976548248633506
2018-08-24,54.29,57.13258366800535,-0.0497541592819164
2018-08-27,54.82,57.02258366800535,-0.03862651473018386
