date,REG,dcf,Deviation
2012-05-15,46.15,45.592971049308915,0.012217430403661522
2012-05-16,45.29,44.15297104930892,0.025752037148786044
2012-05-17,43.85,43.25297104930892,0.01380318938115166
2012-05-18,42.95,44.372971049308916,-0.032068419482834565
2012-05-21,44.07,44.592971049308915,-0.011727656556694499
2012-05-22,44.29,44.412971049308915,-0.002768809345638834
2012-05-23,44.11,44.49297104930891,-0.008607450576507691
2012-05-24,44.19,44.122971049308916,0.001519139556948046
2012-05-25,43.82,44.65297104930892,-0.018654325339048317
2012-05-29,44.35,43.64297104930892,0.01620029374013665
2012-05-30,43.34,44.11297104930892,-0.017522534323178962
2012-05-31,43.81,42.442971049308916,0.03220860644046142
2012-06-01,42.14,42.53297104930891,-0.00923920994969607
2012-06-04,42.23,43.49297104930891,-0.02903850941516639
2012-06-05,43.19,44.512971049308916,-0.029721023291018
2012-06-06,44.21,44.192971049308916,0.00038533165539123004
2012-06-07,43.89,45.04297104930892,-0.02559713585604173
2012-06-08,44.74,43.99297104930891,0.016980643336268253
2012-06-11,43.69,44.772971049308914,-0.02418805417483305
2012-06-12,44.47,44.57297104930892,-0.002310167953466835
2012-06-13,44.27,45.272971049308914,-0.022153859710610346
2012-06-14,44.97,46.08297104930892,-0.024151460376068967
2012-06-15,45.78,46.64297104930892,-0.01850163121891657
2012-06-18,46.34,46.47297104930892,-0.0028612556138885026
2012-06-19,46.17,46.662971049308915,-0.01056450196426606
2012-06-20,46.36,46.302971049308915,0.0012316477625238242
2012-06-21,46.0,46.732971049308915,-0.01568423819096676
2012-06-22,46.43,46.11297104930892,0.006875049329440941
2012-06-25,45.81,46.14297104930892,-0.007216073038580406
2012-06-26,45.84,45.90297104930892,-0.0013718294887986593
2012-06-27,45.6,46.82297104930892,-0.02611903990502895
2012-06-28,46.52,47.872971049308916,-0.028261689626811748
2012-06-29,47.57,48.067321310852634,-0.010346349604889449
2012-07-02,47.81,48.00732131085263,-0.004110233719872736
2012-07-03,47.75,47.957321310852635,-0.004323037759111026
2012-07-05,47.7,47.75732131085263,-0.0012002622693079168
2012-07-06,47.5,47.92732131085263,-0.008916027417452788
