date,CCL,dcf,Deviation
1992-11-12,7.78,,
1992-11-13,7.75,,
1992-11-16,7.75,,
1992-11-17,7.75,,
1992-11-18,7.78,,
1992-11-19,7.78,,
1992-11-20,7.88,,
1992-11-23,7.94,,
1992-11-24,7.91,,
1992-11-25,7.88,,
1992-11-27,7.91,,
1992-11-30,8.06,,
1992-12-01,7.97,,
1992-12-02,7.97,,
1992-12-03,8.03,,
1992-12-04,8.16,,
1992-12-07,8.19,,
1992-12-08,8.19,,
1992-12-09,8.09,,
1992-12-10,8.06,,
1992-12-11,8.0,,
1992-12-14,7.97,,
1992-12-15,7.88,,
1992-12-16,7.97,,
1992-12-17,8.03,,
1992-12-18,8.13,,
1992-12-21,8.16,,
1992-12-22,8.19,,
1992-12-23,8.31,,
1992-12-24,8.31,,
1992-12-28,8.34,,
1992-12-29,8.19,,
1992-12-30,8.06,,
1992-12-31,8.19,,
1993-01-04,8.22,,
1993-01-05,8.09,,
1993-01-06,8.13,,
1993-01-07,8.34,,
1993-01-08,8.56,,
1993-01-11,8.56,,
1993-01-12,8.56,,
1993-01-13,8.84,,
1993-01-14,9.16,,
1993-01-15,8.94,,
1993-01-18,8.91,,
1993-01-19,8.94,,
1993-01-20,8.84,,
1993-01-21,8.69,,
1993-01-22,8.84,,
1993-01-25,8.88,,
1993-01-26,9.13,,
1993-01-27,8.81,,
1993-01-28,8.91,,
1993-01-29,8.91,,
1993-02-01,9.09,,
1993-02-02,9.25,,
1993-02-03,9.47,,
1993-02-04,9.59,,
1993-02-05,9.5,,
1993-02-08,9.81,,
1993-02-09,9.63,,
1993-02-10,9.72,,
1993-02-11,9.69,,
1993-02-12,9.75,,
1993-02-16,9.06,,
1993-02-17,8.94,,
1993-02-18,8.75,,
1993-02-19,8.66,,
1993-02-22,8.84,,
1993-02-23,8.72,,
1993-02-24,9.09,,
1993-02-25,9.22,,
1993-02-26,9.44,,
1993-03-01,9.44,,
1993-03-02,9.47,,
1993-03-03,9.44,,
1993-03-04,9.25,,
1993-03-05,9.34,,
1993-03-08,9.34,,
1993-03-09,9.31,,
1993-03-10,9.44,,
